region_from,region_to,time,sector,product
EU27+3,EU27+3,1971,Packaging,PC
EU27+3,EU27+3,1971,Packaging,Other Thermoplastics
EU27+3,EU27+3,1971,Packaging,PUR
EU27+3,EU27+3,1971,Packaging,Other Plastics
EU27+3,EU27+3,1971,Household packaging,"PE-LD, -LLD"
EU27+3,EU27+3,1971,Household packaging,"PE-HD, -MD"
EU27+3,EU27+3,1971,Household packaging,PP
EU27+3,EU27+3,1971,Household packaging,PS
EU27+3,EU27+3,1971,Household packaging,PS-E
EU27+3,EU27+3,1971,Household packaging,PVC
EU27+3,EU27+3,1971,Household packaging,PET
EU27+3,EU27+3,1971,Household packaging,"ABS, SAN"
EU27+3,EU27+3,1971,Household packaging,PMMA
EU27+3,EU27+3,1971,Household packaging,"PA (PA6, PA66)"
EU27+3,EU27+3,1971,Household packaging,PC
EU27+3,EU27+3,1971,Household packaging,Other Thermoplastics
EU27+3,EU27+3,1971,Household packaging,PUR
EU27+3,EU27+3,1971,Household packaging,Other Plastics
EU27+3,EU27+3,1971,Commercial & industrial packaging,"PE-LD, -LLD"
EU27+3,EU27+3,1971,Commercial & industrial packaging,"PE-HD, -MD"
EU27+3,EU27+3,1971,Commercial & industrial packaging,PP
EU27+3,EU27+3,1971,Commercial & industrial packaging,PS
EU27+3,EU27+3,1971,Commercial & industrial packaging,PS-E
EU27+3,EU27+3,1971,Commercial & industrial packaging,PVC
EU27+3,EU27+3,1971,Commercial & industrial packaging,PET
EU27+3,EU27+3,1971,Commercial & industrial packaging,"ABS, SAN"
EU27+3,EU27+3,1971,Commercial & industrial packaging,PMMA
EU27+3,EU27+3,1971,Commercial & industrial packaging,"PA (PA6, PA66)"
EU27+3,EU27+3,1971,Commercial & industrial packaging,PC
EU27+3,EU27+3,1971,Commercial & industrial packaging,Other Thermoplastics
EU27+3,EU27+3,1971,Commercial & industrial packaging,PUR
EU27+3,EU27+3,1971,Commercial & industrial packaging,Other Plastics
EU27+3,EU27+3,1971,Building and Construction,"PE-LD, -LLD"
EU27+3,EU27+3,1971,Building and Construction,"PE-HD, -MD"
EU27+3,EU27+3,1971,Building and Construction,PP
EU27+3,EU27+3,1971,Building and Construction,PS
EU27+3,EU27+3,1971,Building and Construction,PS-E
EU27+3,EU27+3,1971,Building and Construction,PVC
EU27+3,EU27+3,1971,Building and Construction,PET
EU27+3,EU27+3,1971,Building and Construction,"ABS, SAN"
EU27+3,EU27+3,1971,Building and Construction,PMMA
EU27+3,EU27+3,1971,Building and Construction,"PA (PA6, PA66)"
EU27+3,EU27+3,1971,Building and Construction,PC
EU27+3,EU27+3,1971,Building and Construction,Other Thermoplastics
EU27+3,EU27+3,1971,Building and Construction,PUR
EU27+3,EU27+3,1971,Building and Construction,Other Plastics
EU27+3,EU27+3,1971,EPS ETICS,PS-E
EU27+3,EU27+3,1971,EPS flat roof,PS-E
EU27+3,EU27+3,1971,EPS flooring,PS-E
EU27+3,EU27+3,1971,EPS perimeter,PS-E
EU27+3,EU27+3,1971,EPS others in B&C,PS-E
EU27+3,EU27+3,1971,PVC pipes,PVC
EU27+3,EU27+3,1971,PVC profiles,PVC
EU27+3,EU27+3,1971,PVC others in B&C,PVC
EU27+3,EU27+3,1971,PUR rigid spray foam,PUR
EU27+3,EU27+3,1971,PUR boards and panels rigid foam,PUR
EU27+3,EU27+3,1971,Automotive,"PE-LD, -LLD"
EU27+3,EU27+3,1971,Automotive,"PE-HD, -MD"
EU27+3,EU27+3,1971,Automotive,PP
EU27+3,EU27+3,1971,Automotive,PS
EU27+3,EU27+3,1971,Automotive,PS-E
EU27+3,EU27+3,1971,Automotive,PVC
EU27+3,EU27+3,1971,Automotive,PET
EU27+3,EU27+3,1971,Automotive,"ABS, SAN"
EU27+3,EU27+3,1971,Automotive,PMMA
EU27+3,EU27+3,1971,Automotive,"PA (PA6, PA66)"
EU27+3,EU27+3,1971,Automotive,PC
EU27+3,EU27+3,1971,Automotive,Other Thermoplastics
EU27+3,EU27+3,1971,Automotive,PUR
EU27+3,EU27+3,1971,Automotive,Other Plastics
EU27+3,EU27+3,1971,PUR moulded automotive,PUR
EU27+3,EU27+3,1971,PUR others in Automotive,PUR
EU27+3,EU27+3,1971,Electrical and Electronics,"PE-LD, -LLD"
EU27+3,EU27+3,1971,Electrical and Electronics,"PE-HD, -MD"
EU27+3,EU27+3,1971,Electrical and Electronics,PP
EU27+3,EU27+3,1971,Electrical and Electronics,PS
EU27+3,EU27+3,1971,Electrical and Electronics,PS-E
EU27+3,EU27+3,1971,Electrical and Electronics,PVC
EU27+3,EU27+3,1971,Electrical and Electronics,PET
EU27+3,EU27+3,1971,Electrical and Electronics,"ABS, SAN"
EU27+3,EU27+3,1971,Electrical and Electronics,PMMA
EU27+3,EU27+3,1971,Electrical and Electronics,"PA (PA6, PA66)"
EU27+3,EU27+3,1971,Electrical and Electronics,PC
EU27+3,EU27+3,1971,Electrical and Electronics,Other Thermoplastics
EU27+3,EU27+3,1971,Electrical and Electronics,PUR
EU27+3,EU27+3,1971,Electrical and Electronics,Other Plastics
EU27+3,EU27+3,1971,Agriculture,"PE-LD, -LLD"
EU27+3,EU27+3,1971,Agriculture,"PE-HD, -MD"
EU27+3,EU27+3,1971,Agriculture,PP
EU27+3,EU27+3,1971,Agriculture,PS
EU27+3,EU27+3,1971,Agriculture,PS-E
EU27+3,EU27+3,1971,Agriculture,PVC
EU27+3,EU27+3,1971,Agriculture,PET
EU27+3,EU27+3,1971,Agriculture,"ABS, SAN"
EU27+3,EU27+3,1971,Agriculture,PMMA
EU27+3,EU27+3,1971,Agriculture,"PA (PA6, PA66)"
EU27+3,EU27+3,1971,Agriculture,PC
EU27+3,EU27+3,1971,Agriculture,Other Thermoplastics
EU27+3,EU27+3,1971,Agriculture,PUR
EU27+3,EU27+3,1971,Agriculture,Other Plastics
EU27+3,EU27+3,1971,"Household, Leisure, Sports","PE-LD, -LLD"
EU27+3,EU27+3,1971,"Household, Leisure, Sports","PE-HD, -MD"
EU27+3,EU27+3,1971,"Household, Leisure, Sports",PP
EU27+3,EU27+3,1971,"Household, Leisure, Sports",PS
EU27+3,EU27+3,1971,"Household, Leisure, Sports",PS-E
EU27+3,EU27+3,1971,"Household, Leisure, Sports",PVC
EU27+3,EU27+3,1971,"Household, Leisure, Sports",PET
EU27+3,EU27+3,1971,"Household, Leisure, Sports","ABS, SAN"
EU27+3,EU27+3,1971,"Household, Leisure, Sports",PMMA
EU27+3,EU27+3,1971,"Household, Leisure, Sports","PA (PA6, PA66)"
