Time,Region,Concrete product,value
2020,BGR,Precast concrete (reinforced)_Roof,0.0
2020,BGR,Precast concrete (reinforced)_Floor,0.0
2020,BGR,Precast concrete (reinforced)_Basement wall,0.0
2020,BGR,Precast concrete (reinforced)_Basement ceiling,0.0
2020,BGR,Precast concrete (reinforced)_Basement ground floor,0.0
2020,BGR,Precast concrete (reinforced)_Foundation,0.0
2020,BGR,Precast concrete (not reinforced)_Exterior wall,0.0
2020,BGR,Precast concrete (not reinforced)_Interior load-bearing wall,0.0
2020,BGR,Precast concrete (not reinforced)_Interior wall,0.0
2020,BGR,Precast concrete (not reinforced)_Roof,0.0
2020,BGR,Precast concrete (not reinforced)_Floor,0.0
2020,BGR,Precast concrete (not reinforced)_Basement wall,0.0
2020,BGR,Precast concrete (not reinforced)_Basement ceiling,0.0
2020,BGR,Precast concrete (not reinforced)_Basement ground floor,0.0
2020,BGR,Precast concrete (not reinforced)_Foundation,0.0
2020,CYP,Transport concrete (not reinforced),0.0
2020,CYP,Precast concrete (not reinforced),0.0
2020,CYP,Transport concrete (reinforced),0.0
2020,CYP,Precast concrete (reinforced),0.0
2020,CYP,Transport concrete (reinforced)_Exterior wall,0.0
2020,CYP,Transport concrete (reinforced)_Interior load-bearing wall,0.0
2020,CYP,Transport concrete (reinforced)_Interior wall,0.0
2020,CYP,Transport concrete (reinforced)_Roof,0.0
2020,CYP,Transport concrete (reinforced)_Floor,0.0
2020,CYP,Transport concrete (reinforced)_Basement wall,0.0
2020,CYP,Transport concrete (reinforced)_Basement ceiling,0.0
2020,CYP,Transport concrete (reinforced)_Basement ground floor,0.0
2020,CYP,Transport concrete (reinforced)_Foundation,0.0
2020,CYP,Transport concrete (not reinforced)_Exterior wall,0.0
2020,CYP,Transport concrete (not reinforced)_Interior load-bearing wall,0.0
2020,CYP,Transport concrete (not reinforced)_Interior wall,0.0
2020,CYP,Transport concrete (not reinforced)_Roof,0.0
2020,CYP,Transport concrete (not reinforced)_Floor,0.0
2020,CYP,Transport concrete (not reinforced)_Basement wall,0.0
2020,CYP,Transport concrete (not reinforced)_Basement ceiling,0.0
2020,CYP,Transport concrete (not reinforced)_Basement ground floor,0.0
2020,CYP,Transport concrete (not reinforced)_Foundation,0.0
2020,CYP,Precast concrete (reinforced)_Exterior wall,0.0
2020,CYP,Precast concrete (reinforced)_Interior load-bearing wall,0.0
2020,CYP,Precast concrete (reinforced)_Interior wall,0.0
2020,CYP,Precast concrete (reinforced)_Roof,0.0
2020,CYP,Precast concrete (reinforced)_Floor,0.0
2020,CYP,Precast concrete (reinforced)_Basement wall,0.0
2020,CYP,Precast concrete (reinforced)_Basement ceiling,0.0
2020,CYP,Precast concrete (reinforced)_Basement ground floor,0.0
2020,CYP,Precast concrete (reinforced)_Foundation,0.0
2020,CYP,Precast concrete (not reinforced)_Exterior wall,0.0
2020,CYP,Precast concrete (not reinforced)_Interior load-bearing wall,0.0
2020,CYP,Precast concrete (not reinforced)_Interior wall,0.0
2020,CYP,Precast concrete (not reinforced)_Roof,0.0
2020,CYP,Precast concrete (not reinforced)_Floor,0.0
2020,CYP,Precast concrete (not reinforced)_Basement wall,0.0
2020,CYP,Precast concrete (not reinforced)_Basement ceiling,0.0
2020,CYP,Precast concrete (not reinforced)_Basement ground floor,0.0
2020,CYP,Precast concrete (not reinforced)_Foundation,0.0
2020,CZE,Transport concrete (not reinforced),0.0
2020,CZE,Precast concrete (not reinforced),0.0
2020,CZE,Transport concrete (reinforced),0.0
2020,CZE,Precast concrete (reinforced),0.0
2020,CZE,Transport concrete (reinforced)_Exterior wall,0.0
2020,CZE,Transport concrete (reinforced)_Interior load-bearing wall,0.0
2020,CZE,Transport concrete (reinforced)_Interior wall,0.0
2020,CZE,Transport concrete (reinforced)_Roof,0.0
2020,CZE,Transport concrete (reinforced)_Floor,0.0
2020,CZE,Transport concrete (reinforced)_Basement wall,0.0
2020,CZE,Transport concrete (reinforced)_Basement ceiling,0.0
2020,CZE,Transport concrete (reinforced)_Basement ground floor,0.0
2020,CZE,Transport concrete (reinforced)_Foundation,0.0
2020,CZE,Transport concrete (not reinforced)_Exterior wall,0.0
2020,CZE,Transport concrete (not reinforced)_Interior load-bearing wall,0.0
