,region,time,sector,polymer,element,mechanical_recycling_cycle,reuse_cycle,value
0,EU27+3,2018.0,single-use beverage bottles,PET,All,0,0,731.5815815815815
1,EU27+3,2018.0,single-use non-beverage bottles,PET,All,0,0,72.92292292292292
2,EU27+3,2018.0,single-use sheet (tray),PET,All,0,0,251.7017017017017
3,EU27+3,2018.0,flexible packaging,PET,All,0,0,87.03703703703704
4,EU27+3,2018.0,other,PET,All,0,0,31.75675675675676
5,EU27+3,2018.25,single-use beverage bottles,PET,All,0,0,556.002002002002
6,EU27+3,2018.25,single-use beverage bottles,PET,All,1,0,175.57957957957956
7,EU27+3,2018.25,single-use non-beverage bottles,PET,All,0,0,55.42142142142142
8,EU27+3,2018.25,single-use non-beverage bottles,PET,All,1,0,17.5015015015015
9,EU27+3,2018.25,single-use sheet (tray),PET,All,0,0,140.95295295295296
10,EU27+3,2018.25,single-use sheet (tray),PET,All,1,0,110.74874874874875
11,EU27+3,2018.25,flexible packaging,PET,All,0,0,87.03703703703704
12,EU27+3,2018.25,other,PET,All,0,0,6.351351351351351
13,EU27+3,2018.25,other,PET,All,1,0,25.40540540540541
14,EU27+3,2018.5,single-use beverage bottles,PET,All,0,0,556.002002002002
15,EU27+3,2018.5,single-use beverage bottles,PET,All,1,0,133.44048048048046
16,EU27+3,2018.5,single-use beverage bottles,PET,All,2,0,42.13909909909909
17,EU27+3,2018.5,single-use non-beverage bottles,PET,All,0,0,55.42142142142142
18,EU27+3,2018.5,single-use non-beverage bottles,PET,All,1,0,13.301141141141143
19,EU27+3,2018.5,single-use non-beverage bottles,PET,All,2,0,4.20036036036036
20,EU27+3,2018.5,single-use sheet (tray),PET,All,0,0,140.95295295295296
21,EU27+3,2018.5,single-use sheet (tray),PET,All,1,0,62.0192992992993
22,EU27+3,2018.5,single-use sheet (tray),PET,All,2,0,48.729449449449454
23,EU27+3,2018.5,flexible packaging,PET,All,0,0,87.03703703703704
24,EU27+3,2018.5,other,PET,All,0,0,6.351351351351351
25,EU27+3,2018.5,other,PET,All,1,0,5.081081081081081
26,EU27+3,2018.5,other,PET,All,2,0,20.32432432432433
27,EU27+3,2018.75,single-use beverage bottles,PET,All,0,0,556.002002002002
28,EU27+3,2018.75,single-use beverage bottles,PET,All,1,0,133.44048048048046
29,EU27+3,2018.75,single-use beverage bottles,PET,All,2,0,32.02571531531531
30,EU27+3,2018.75,single-use beverage bottles,PET,All,3,0,10.113383783783782
31,EU27+3,2018.75,single-use non-beverage bottles,PET,All,0,0,55.42142142142142
32,EU27+3,2018.75,single-use non-beverage bottles,PET,All,1,0,13.30114114114114
33,EU27+3,2018.75,single-use non-beverage bottles,PET,All,2,0,3.1922738738738734
34,EU27+3,2018.75,single-use non-beverage bottles,PET,All,3,0,1.0080864864864862
35,EU27+3,2018.75,single-use sheet (tray),PET,All,0,0,140.95295295295296
36,EU27+3,2018.75,single-use sheet (tray),PET,All,1,0,62.0192992992993
37,EU27+3,2018.75,single-use sheet (tray),PET,All,2,0,27.28849169169169
38,EU27+3,2018.75,single-use sheet (tray),PET,All,3,0,21.440957757757758
39,EU27+3,2018.75,flexible packaging,PET,All,0,0,87.03703703703704
40,EU27+3,2018.75,other,PET,All,0,0,6.351351351351351
41,EU27+3,2018.75,other,PET,All,1,0,5.081081081081081
42,EU27+3,2018.75,other,PET,All,2,0,4.064864864864865
43,EU27+3,2018.75,other,PET,All,3,0,16.259459459459467
44,EU27+3,2019.0,single-use beverage bottles,PET,All,0,0,575.4340161862913
45,EU27+3,2019.0,single-use beverage bottles,PET,All,1,0,138.10416388470992
46,EU27+3,2019.0,single-use beverage bottles,PET,All,2,0,33.14499933233038
47,EU27+3,2019.0,single-use beverage bottles,PET,All,3,0,7.95479983975929
48,EU27+3,2019.0,single-use beverage bottles,PET,All,4,0,2.512042054660829
49,EU27+3,2019.0,reusable beverage bottles,PET,All,0,0,4.227645475370284
50,EU27+3,2019.0,single-use non-beverage bottles,PET,All,0,0,57.34837276300692
51,EU27+3,2019.0,single-use non-beverage bottles,PET,All,1,0,13.76360946312166
52,EU27+3,2019.0,single-use non-beverage bottles,PET,All,2,0,3.3032662711491985
53,EU27+3,2019.0,single-use non-beverage bottles,PET,All,3,0,0.7927839050758075
54,EU27+3,2019.0,single-use non-beverage bottles,PET,All,4,0,0.25035281212920235
55,EU27+3,2019.0,reusable non-beverage bottles,PET,All,0,0,0.4213316936635254
56,EU27+3,2019.0,single-use sheet (tray),PET,All,0,0,146.95095095095098
57,EU27+3,2019.0,single-use sheet (tray),PET,All,1,0,64.65841841841844
58,EU27+3,2019.0,single-use sheet (tray),PET,All,2,0,28.44970410410411
59,EU27+3,2019.0,single-use sheet (tray),PET,All,3,0,12.517869805805807
60,EU27+3,2019.0,single-use sheet (tray),PET,All,4,0,9.835469133133133
61,EU27+3,2019.0,flexible packaging,PET,All,0,0,90.74074074074072
62,EU27+3,2019.0,other,PET,All,0,0,6.621621621621621
63,EU27+3,2019.0,other,PET,All,1,0,5.2972972972972965
64,EU27+3,2019.0,other,PET,All,2,0,4.237837837837837
65,EU27+3,2019.0,other,PET,All,3,0,3.3902702702702703
66,EU27+3,2019.0,other,PET,All,4,0,13.561081081081086
67,EU27+3,2019.25,single-use beverage bottles,PET,All,0,0,575.4340161862913
68,EU27+3,2019.25,single-use beverage bottles,PET,All,1,0,138.1041638847099
69,EU27+3,2019.25,single-use beverage bottles,PET,All,2,0,33.14499933233038
70,EU27+3,2019.25,single-use beverage bottles,PET,All,3,0,7.95479983975929
71,EU27+3,2019.25,single-use beverage bottles,PET,All,4,0,1.9091519615422297
72,EU27+3,2019.25,single-use beverage bottles,PET,All,5,0,0.602890093118599
73,EU27+3,2019.25,reusable beverage bottles,PET,All,0,0,1.7544728722786682
74,EU27+3,2019.25,reusable beverage bottles,PET,All,1,0,1.335045939590616
75,EU27+3,2019.25,single-use non-beverage bottles,PET,All,0,0,57.34837276300692
76,EU27+3,2019.25,single-use non-beverage bottles,PET,All,1,0,13.763609463121659
77,EU27+3,2019.25,single-use non-beverage bottles,PET,All,2,0,3.3032662711491976
78,EU27+3,2019.25,single-use non-beverage bottles,PET,All,3,0,0.7927839050758076
79,EU27+3,2019.25,single-use non-beverage bottles,PET,All,4,0,0.19026813721819374
80,EU27+3,2019.25,single-use non-beverage bottles,PET,All,5,0,0.06008467491100856
81,EU27+3,2019.25,reusable non-beverage bottles,PET,All,0,0,0.20961251759760385
82,EU27+3,2019.25,reusable non-beverage bottles,PET,All,1,0,0.1330521137884817
83,EU27+3,2019.25,single-use sheet (tray),PET,All,0,0,146.95095095095098
84,EU27+3,2019.25,single-use sheet (tray),PET,All,1,0,64.65841841841842
85,EU27+3,2019.25,single-use sheet (tray),PET,All,2,0,28.449704104104107
86,EU27+3,2019.25,single-use sheet (tray),PET,All,3,0,12.517869805805807
87,EU27+3,2019.25,single-use sheet (tray),PET,All,4,0,5.5078627145545545
88,EU27+3,2019.25,single-use sheet (tray),PET,All,5,0,4.327606418578578
89,EU27+3,2019.25,flexible packaging,PET,All,0,0,90.74074074074072
90,EU27+3,2019.25,other,PET,All,0,0,6.621621621621621
91,EU27+3,2019.25,other,PET,All,1,0,5.2972972972972965
92,EU27+3,2019.25,other,PET,All,2,0,4.237837837837837
93,EU27+3,2019.25,other,PET,All,3,0,3.3902702702702703
94,EU27+3,2019.25,other,PET,All,4,0,2.7122162162162162
95,EU27+3,2019.25,other,PET,All,5,0,10.848864864864868
96,EU27+3,2019.5,single-use beverage bottles,PET,All,0,0,575.4340161862913
97,EU27+3,2019.5,single-use beverage bottles,PET,All,1,0,138.1041638847099
98,EU27+3,2019.5,single-use beverage bottles,PET,All,2,0,33.14499933233037
99,EU27+3,2019.5,single-use beverage bottles,PET,All,3,0,7.95479983975929
100,EU27+3,2019.5,single-use beverage bottles,PET,All,4,0,1.9091519615422297
101,EU27+3,2019.5,single-use beverage bottles,PET,All,5,0,0.4581964707701351
102,EU27+3,2019.5,single-use beverage bottles,PET,All,6,0,0.14469362234846375
103,EU27+3,2019.5,reusable beverage bottles,PET,All,0,0,1.6963427469923267
104,EU27+3,2019.5,reusable beverage bottles,PET,All,1,0,0.21527615775898667
105,EU27+3,2019.5,reusable beverage bottles,PET,All,2,0,0.3204110255017478
106,EU27+3,2019.5,single-use non-beverage bottles,PET,All,0,0,57.34837276300692
107,EU27+3,2019.5,single-use non-beverage bottles,PET,All,1,0,13.763609463121659
108,EU27+3,2019.5,single-use non-beverage bottles,PET,All,2,0,3.303266271149198
109,EU27+3,2019.5,single-use non-beverage bottles,PET,All,3,0,0.7927839050758074
110,EU27+3,2019.5,single-use non-beverage bottles,PET,All,4,0,0.1902681372181938
111,EU27+3,2019.5,single-use non-beverage bottles,PET,All,5,0,0.045664352932366495
112,EU27+3,2019.5,single-use non-beverage bottles,PET,All,6,0,0.014420321978642051
113,EU27+3,2019.5,reusable non-beverage bottles,PET,All,0,0,0.21250917299154062
114,EU27+3,2019.5,reusable non-beverage bottles,PET,All,1,0,0.035175652582829856
115,EU27+3,2019.5,reusable non-beverage bottles,PET,All,2,0,0.031932507309235615
116,EU27+3,2019.5,single-use sheet (tray),PET,All,0,0,146.95095095095098
117,EU27+3,2019.5,single-use sheet (tray),PET,All,1,0,64.65841841841844
118,EU27+3,2019.5,single-use sheet (tray),PET,All,2,0,28.449704104104107
119,EU27+3,2019.5,single-use sheet (tray),PET,All,3,0,12.517869805805807
120,EU27+3,2019.5,single-use sheet (tray),PET,All,4,0,5.507862714554556
121,EU27+3,2019.5,single-use sheet (tray),PET,All,5,0,2.423459594404004
122,EU27+3,2019.5,single-use sheet (tray),PET,All,6,0,1.9041468241745747
123,EU27+3,2019.5,flexible packaging,PET,All,0,0,90.74074074074072
124,EU27+3,2019.5,other,PET,All,0,0,6.621621621621621
125,EU27+3,2019.5,other,PET,All,1,0,5.297297297297298
126,EU27+3,2019.5,other,PET,All,2,0,4.237837837837838
127,EU27+3,2019.5,other,PET,All,3,0,3.390270270270271
128,EU27+3,2019.5,other,PET,All,4,0,2.7122162162162167
129,EU27+3,2019.5,other,PET,All,5,0,2.1697729729729733
130,EU27+3,2019.5,other,PET,All,6,0,8.679091891891897
131,EU27+3,2019.75,single-use beverage bottles,PET,All,0,0,575.4340161862913
132,EU27+3,2019.75,single-use beverage bottles,PET,All,1,0,138.1041638847099
133,EU27+3,2019.75,single-use beverage bottles,PET,All,2,0,33.14499933233037
134,EU27+3,2019.75,single-use beverage bottles,PET,All,3,0,7.954799839759288
135,EU27+3,2019.75,single-use beverage bottles,PET,All,4,0,1.9091519615422297
136,EU27+3,2019.75,single-use beverage bottles,PET,All,5,0,0.4581964707701351
137,EU27+3,2019.75,single-use beverage bottles,PET,All,6,0,0.1099671529848324
138,EU27+3,2019.75,single-use beverage bottles,PET,All,7,0,0.0347264693636313
139,EU27+3,2019.75,reusable beverage bottles,PET,All,0,0,1.6382126217059851
140,EU27+3,2019.75,reusable beverage bottles,PET,All,1,0,0.3931710292094368
141,EU27+3,2019.75,reusable beverage bottles,PET,All,2,0,0.04726062626150776
142,EU27+3,2019.75,reusable beverage bottles,PET,All,3,0,0.07689864612041947
143,EU27+3,2019.75,single-use non-beverage bottles,PET,All,0,0,57.34837276300692
144,EU27+3,2019.75,single-use non-beverage bottles,PET,All,1,0,13.763609463121659
145,EU27+3,2019.75,single-use non-beverage bottles,PET,All,2,0,3.3032662711491976
146,EU27+3,2019.75,single-use non-beverage bottles,PET,All,3,0,0.7927839050758074
147,EU27+3,2019.75,single-use non-beverage bottles,PET,All,4,0,0.19026813721819372
148,EU27+3,2019.75,single-use non-beverage bottles,PET,All,5,0,0.0456643529323665
149,EU27+3,2019.75,single-use non-beverage bottles,PET,All,6,0,0.010959444703767956
150,EU27+3,2019.75,single-use non-beverage bottles,PET,All,7,0,0.003460877274874091
151,EU27+3,2019.75,reusable non-beverage bottles,PET,All,0,0,0.21540582838547734
152,EU27+3,2019.75,reusable non-beverage bottles,PET,All,1,0,0.05169739881251456
153,EU27+3,2019.75,reusable non-beverage bottles,PET,All,2,0,0.00866169260763016
154,EU27+3,2019.75,reusable non-beverage bottles,PET,All,3,0,0.007663801754216548
