,region,time,sector,polymer,waste_category,element,mechanical_recycling_cycle,value
0,EU27+3,2018.0,single-use beverage bottles,PET,Mechanical recycling,All,0,387.73823823823824
1,EU27+3,2018.0,single-use non-beverage bottles,PET,Mechanical recycling,All,0,21.876876876876874
2,EU27+3,2018.0,single-use sheet (tray),PET,Mechanical recycling,All,0,12.585085085085085
3,EU27+3,2018.0,other,PET,Mechanical recycling,All,0,0.031756756756756765
4,EU27+3,2018.25,single-use beverage bottles,PET,Mechanical recycling,All,0,302.3260885885886
5,EU27+3,2018.25,single-use beverage bottles,PET,Mechanical recycling,All,1,95.4713963963964
6,EU27+3,2018.25,single-use non-beverage bottles,PET,Mechanical recycling,All,0,17.042087087087086
7,EU27+3,2018.25,single-use non-beverage bottles,PET,Mechanical recycling,All,1,5.381711711711711
8,EU27+3,2018.25,single-use sheet (tray),PET,Mechanical recycling,All,0,7.047647647647648
9,EU27+3,2018.25,single-use sheet (tray),PET,Mechanical recycling,All,1,5.537437437437438
10,EU27+3,2018.25,other,PET,Mechanical recycling,All,0,0.006351351351351351
11,EU27+3,2018.25,other,PET,Mechanical recycling,All,1,0.02540540540540541
12,EU27+3,2018.5,single-use beverage bottles,PET,Mechanical recycling,All,0,309.9711161161161
13,EU27+3,2018.5,single-use beverage bottles,PET,Mechanical recycling,All,1,74.39306786786786
14,EU27+3,2018.5,single-use beverage bottles,PET,Mechanical recycling,All,2,23.492547747747743
15,EU27+3,2018.5,single-use non-beverage bottles,PET,Mechanical recycling,All,0,17.45774774774775
16,EU27+3,2018.5,single-use non-beverage bottles,PET,Mechanical recycling,All,1,4.18985945945946
17,EU27+3,2018.5,single-use non-beverage bottles,PET,Mechanical recycling,All,2,1.3231135135135135
18,EU27+3,2018.5,single-use sheet (tray),PET,Mechanical recycling,All,0,7.047647647647648
19,EU27+3,2018.5,single-use sheet (tray),PET,Mechanical recycling,All,1,3.100964964964965
20,EU27+3,2018.5,single-use sheet (tray),PET,Mechanical recycling,All,2,2.436472472472473
21,EU27+3,2018.5,other,PET,Mechanical recycling,All,0,0.006351351351351351
22,EU27+3,2018.5,other,PET,Mechanical recycling,All,1,0.0050810810810810805
23,EU27+3,2018.5,other,PET,Mechanical recycling,All,2,0.02032432432432433
24,EU27+3,2018.75,single-use beverage bottles,PET,Mechanical recycling,All,0,317.6161436436436
25,EU27+3,2018.75,single-use beverage bottles,PET,Mechanical recycling,All,1,76.22787447447446
26,EU27+3,2018.75,single-use beverage bottles,PET,Mechanical recycling,All,2,18.29468987387387
27,EU27+3,2018.75,single-use beverage bottles,PET,Mechanical recycling,All,3,5.7772704864864854
28,EU27+3,2018.75,single-use non-beverage bottles,PET,Mechanical recycling,All,0,17.87340840840841
29,EU27+3,2018.75,single-use non-beverage bottles,PET,Mechanical recycling,All,1,4.289618018018018
30,EU27+3,2018.75,single-use non-beverage bottles,PET,Mechanical recycling,All,2,1.0295083243243242
31,EU27+3,2018.75,single-use non-beverage bottles,PET,Mechanical recycling,All,3,0.3251078918918918
32,EU27+3,2018.75,single-use sheet (tray),PET,Mechanical recycling,All,0,7.047647647647648
33,EU27+3,2018.75,single-use sheet (tray),PET,Mechanical recycling,All,1,3.100964964964965
34,EU27+3,2018.75,single-use sheet (tray),PET,Mechanical recycling,All,2,1.3644245845845846
35,EU27+3,2018.75,single-use sheet (tray),PET,Mechanical recycling,All,3,1.0720478878878879
36,EU27+3,2018.75,other,PET,Mechanical recycling,All,0,0.006351351351351351
37,EU27+3,2018.75,other,PET,Mechanical recycling,All,1,0.0050810810810810805
38,EU27+3,2018.75,other,PET,Mechanical recycling,All,2,0.004064864864864865
39,EU27+3,2018.75,other,PET,Mechanical recycling,All,3,0.016259459459459467
40,EU27+3,2019.0,single-use beverage bottles,PET,Mechanical recycling,All,0,336.62889946898036
41,EU27+3,2019.0,single-use beverage bottles,PET,Mechanical recycling,All,1,80.7909358725553
42,EU27+3,2019.0,single-use beverage bottles,PET,Mechanical recycling,All,2,19.38982460941327
43,EU27+3,2019.0,single-use beverage bottles,PET,Mechanical recycling,All,3,4.653557906259184
44,EU27+3,2019.0,single-use beverage bottles,PET,Mechanical recycling,All,4,1.4695446019765848
45,EU27+3,2019.0,reusable beverage bottles,PET,Mechanical recycling,All,0,1.0263666302830208
46,EU27+3,2019.0,single-use non-beverage bottles,PET,Mechanical recycling,All,0,18.924963011792283
47,EU27+3,2019.0,single-use non-beverage bottles,PET,Mechanical recycling,All,1,4.541991122830147
48,EU27+3,2019.0,single-use non-beverage bottles,PET,Mechanical recycling,All,2,1.0900778694792355
49,EU27+3,2019.0,single-use non-beverage bottles,PET,Mechanical recycling,All,3,0.2616186886750165
50,EU27+3,2019.0,single-use non-beverage bottles,PET,Mechanical recycling,All,4,0.08261642800263677
51,EU27+3,2019.0,reusable non-beverage bottles,PET,Mechanical recycling,All,0,0.06917213080720927
52,EU27+3,2019.0,single-use sheet (tray),PET,Mechanical recycling,All,0,7.347547547547549
53,EU27+3,2019.0,single-use sheet (tray),PET,Mechanical recycling,All,1,3.2329209209209218
54,EU27+3,2019.0,single-use sheet (tray),PET,Mechanical recycling,All,2,1.4224852052052057
55,EU27+3,2019.0,single-use sheet (tray),PET,Mechanical recycling,All,3,0.6258934902902904
56,EU27+3,2019.0,single-use sheet (tray),PET,Mechanical recycling,All,4,0.49177345665665667
57,EU27+3,2019.0,other,PET,Mechanical recycling,All,0,0.006621621621621621
58,EU27+3,2019.0,other,PET,Mechanical recycling,All,1,0.0052972972972972964
59,EU27+3,2019.0,other,PET,Mechanical recycling,All,2,0.004237837837837838
60,EU27+3,2019.0,other,PET,Mechanical recycling,All,3,0.0033902702702702705
61,EU27+3,2019.0,other,PET,Mechanical recycling,All,4,0.013561081081081087
62,EU27+3,2019.25,single-use beverage bottles,PET,Mechanical recycling,All,0,344.5411171915419
63,EU27+3,2019.25,single-use beverage bottles,PET,Mechanical recycling,All,1,82.68986812597005
64,EU27+3,2019.25,single-use beverage bottles,PET,Mechanical recycling,All,2,19.845568350232814
65,EU27+3,2019.25,single-use beverage bottles,PET,Mechanical recycling,All,3,4.762936404055875
66,EU27+3,2019.25,single-use beverage bottles,PET,Mechanical recycling,All,4,1.14310473697341
67,EU27+3,2019.25,single-use beverage bottles,PET,Mechanical recycling,All,5,0.36098044325476114
68,EU27+3,2019.25,reusable beverage bottles,PET,Mechanical recycling,All,0,1.0156852197616555
69,EU27+3,2019.25,reusable beverage bottles,PET,Mechanical recycling,All,1,0.3207427009773649
70,EU27+3,2019.25,single-use non-beverage bottles,PET,Mechanical recycling,All,0,19.355075807514833
71,EU27+3,2019.25,single-use non-beverage bottles,PET,Mechanical recycling,All,1,4.64521819380356
72,EU27+3,2019.25,single-use non-beverage bottles,PET,Mechanical recycling,All,2,1.114852366512854
73,EU27+3,2019.25,single-use non-beverage bottles,PET,Mechanical recycling,All,3,0.26756456796308503
74,EU27+3,2019.25,single-use non-beverage bottles,PET,Mechanical recycling,All,4,0.06421549631114039
75,EU27+3,2019.25,single-use non-beverage bottles,PET,Mechanical recycling,All,5,0.020278577782465387
76,EU27+3,2019.25,reusable non-beverage bottles,PET,Mechanical recycling,All,0,0.07172184588464495
77,EU27+3,2019.25,reusable non-beverage bottles,PET,Mechanical recycling,All,1,0.02264900396357209
78,EU27+3,2019.25,single-use sheet (tray),PET,Mechanical recycling,All,0,7.347547547547549
