Region;Building type;Age cohort;Steel product;value
AUT;SFH;2031-2040;Hot rolled coild, sheet and strip;0
AUT;SFH;2031-2040;Electrical sheet and strip;0
AUT;SFH;2031-2040;Tinmill products;0
AUT;SFH;2031-2040;Other metal coated sheet and strip;0
AUT;SFH;2031-2040;Non-metallic coated sheet and strip;0
AUT;SFH;2031-2040;Welded tubes;0
AUT;SFH;2031-2040;Liquid steel;0
AUT;SFH;2040<;Concrete reinforcing bars in transport concrete;34.90438232
AUT;SFH;2040<;Concrete reinforcing bars in precast concrete;16.05092033
AUT;SFH;2040<;Hot rolled bars;0
AUT;SFH;2040<;Wire rod;0
AUT;SFH;2040<;Railway track material;0
AUT;SFH;2040<;Heavy sections;0
AUT;SFH;2040<;Light sections;0
AUT;SFH;2040<;Seamless tubes;0
AUT;SFH;2040<;Hot rolled plate;0
AUT;SFH;2040<;Hot rolled coild, sheet and strip;0
AUT;SFH;2040<;Electrical sheet and strip;0
AUT;SFH;2040<;Tinmill products;0
AUT;SFH;2040<;Other metal coated sheet and strip;0
AUT;SFH;2040<;Non-metallic coated sheet and strip;0
AUT;SFH;2040<;Welded tubes;0
AUT;SFH;2040<;Liquid steel;0
AUT;MFH;>1945;Concrete reinforcing bars in transport concrete;0
AUT;MFH;>1945;Concrete reinforcing bars in precast concrete;0
AUT;MFH;>1945;Hot rolled bars;0
AUT;MFH;>1945;Wire rod;0
AUT;MFH;>1945;Railway track material;0
AUT;MFH;>1945;Heavy sections;0
AUT;MFH;>1945;Light sections;0
AUT;MFH;>1945;Seamless tubes;0
AUT;MFH;>1945;Hot rolled plate;0
AUT;MFH;>1945;Hot rolled coild, sheet and strip;0
AUT;MFH;>1945;Electrical sheet and strip;0
AUT;MFH;>1945;Tinmill products;0
AUT;MFH;>1945;Other metal coated sheet and strip;0
AUT;MFH;>1945;Non-metallic coated sheet and strip;0
AUT;MFH;>1945;Welded tubes;0
AUT;MFH;>1945;Liquid steel;0
AUT;MFH;1945-1969;Concrete reinforcing bars in transport concrete;56.0580401
AUT;MFH;1945-1969;Concrete reinforcing bars in precast concrete;25.77851479
AUT;MFH;1945-1969;Hot rolled bars;0
AUT;MFH;1945-1969;Wire rod;0
AUT;MFH;1945-1969;Railway track material;0
AUT;MFH;1945-1969;Heavy sections;0
AUT;MFH;1945-1969;Light sections;0
AUT;MFH;1945-1969;Seamless tubes;0
AUT;MFH;1945-1969;Hot rolled plate;0
AUT;MFH;1945-1969;Hot rolled coild, sheet and strip;0
AUT;MFH;1945-1969;Electrical sheet and strip;0
AUT;MFH;1945-1969;Tinmill products;0
AUT;MFH;1945-1969;Other metal coated sheet and strip;0
AUT;MFH;1945-1969;Non-metallic coated sheet and strip;0
AUT;MFH;1945-1969;Welded tubes;0
AUT;MFH;1945-1969;Liquid steel;0
AUT;MFH;1970-1989;Concrete reinforcing bars in transport concrete;51.18870641
AUT;MFH;1970-1989;Concrete reinforcing bars in precast concrete;23.53933214
AUT;MFH;1970-1989;Hot rolled bars;0
AUT;MFH;1970-1989;Wire rod;0
AUT;MFH;1970-1989;Railway track material;0
AUT;MFH;1970-1989;Heavy sections;0
AUT;MFH;1970-1989;Light sections;0
AUT;MFH;1970-1989;Seamless tubes;0
AUT;MFH;1970-1989;Hot rolled plate;0
AUT;MFH;1970-1989;Hot rolled coild, sheet and strip;0
AUT;MFH;1970-1989;Electrical sheet and strip;0
AUT;MFH;1970-1989;Tinmill products;0
AUT;MFH;1970-1989;Other metal coated sheet and strip;0
AUT;MFH;1970-1989;Non-metallic coated sheet and strip;0
AUT;MFH;1970-1989;Welded tubes;0
AUT;MFH;1970-1989;Liquid steel;0
AUT;MFH;1990-2010;Concrete reinforcing bars in transport concrete;36.38720637
AUT;MFH;1990-2010;Concrete reinforcing bars in precast concrete;16.73280293
AUT;MFH;1990-2010;Hot rolled bars;0
AUT;MFH;1990-2010;Wire rod;0
AUT;MFH;1990-2010;Railway track material;0
AUT;MFH;1990-2010;Heavy sections;0
AUT;MFH;1990-2010;Light sections;0
AUT;MFH;1990-2010;Seamless tubes;0
AUT;MFH;1990-2010;Hot rolled plate;0
AUT;MFH;1990-2010;Hot rolled coild, sheet and strip;0
AUT;MFH;1990-2010;Electrical sheet and strip;0
AUT;MFH;1990-2010;Tinmill products;0
AUT;MFH;1990-2010;Other metal coated sheet and strip;0
AUT;MFH;1990-2010;Non-metallic coated sheet and strip;0
AUT;MFH;1990-2010;Welded tubes;0
AUT;MFH;1990-2010;Liquid steel;0
AUT;MFH;2011-2020;Concrete reinforcing bars in transport concrete;48.7706186
AUT;MFH;2011-2020;Concrete reinforcing bars in precast concrete;22.42736476
AUT;MFH;2011-2020;Hot rolled bars;0
AUT;MFH;2011-2020;Wire rod;0
AUT;MFH;2011-2020;Railway track material;0
AUT;MFH;2011-2020;Heavy sections;0
AUT;MFH;2011-2020;Light sections;0
AUT;MFH;2011-2020;Seamless tubes;0
AUT;MFH;2011-2020;Hot rolled plate;0
AUT;MFH;2011-2020;Hot rolled coild, sheet and strip;0
AUT;MFH;2011-2020;Electrical sheet and strip;0
AUT;MFH;2011-2020;Tinmill products;0
AUT;MFH;2011-2020;Other metal coated sheet and strip;0
AUT;MFH;2011-2020;Non-metallic coated sheet and strip;0
AUT;MFH;2011-2020;Welded tubes;0
AUT;MFH;2011-2020;Liquid steel;0
AUT;MFH;2021-2030;Concrete reinforcing bars in transport concrete;48.7706186
AUT;MFH;2021-2030;Concrete reinforcing bars in precast concrete;22.42736476
AUT;MFH;2021-2030;Hot rolled bars;0
AUT;MFH;2021-2030;Wire rod;0
AUT;MFH;2021-2030;Railway track material;0
AUT;MFH;2021-2030;Heavy sections;0
AUT;MFH;2021-2030;Light sections;0
