Time,Region simple,Concrete product simple,value
2021,EU28,Transport concrete,1072551699.9999999
2021,EU28,Precast concrete,1072551699.9999999
2022,EU28,Transport concrete,1048975776.4705882
2022,EU28,Precast concrete,1048975776.4705882
2023,EU28,Transport concrete,0.0
2023,EU28,Precast concrete,0.0
2024,EU28,Transport concrete,0.0
2024,EU28,Precast concrete,0.0
2025,EU28,Transport concrete,0.0
2025,EU28,Precast concrete,0.0
2026,EU28,Transport concrete,0.0
2026,EU28,Precast concrete,0.0
2027,EU28,Transport concrete,0.0
2027,EU28,Precast concrete,0.0
2028,EU28,Transport concrete,0.0
2028,EU28,Precast concrete,0.0
2029,EU28,Transport concrete,0.0
2029,EU28,Precast concrete,0.0
2030,EU28,Transport concrete,0.0
2030,EU28,Precast concrete,0.0
2031,EU28,Transport concrete,0.0
2031,EU28,Precast concrete,0.0
2032,EU28,Transport concrete,0.0
2032,EU28,Precast concrete,0.0
2033,EU28,Transport concrete,0.0
2033,EU28,Precast concrete,0.0
2034,EU28,Transport concrete,0.0
2034,EU28,Precast concrete,0.0
2035,EU28,Transport concrete,0.0
2035,EU28,Precast concrete,0.0
2036,EU28,Transport concrete,0.0
2036,EU28,Precast concrete,0.0
2037,EU28,Transport concrete,0.0
2037,EU28,Precast concrete,0.0
2038,EU28,Transport concrete,0.0
2038,EU28,Precast concrete,0.0
2039,EU28,Transport concrete,0.0
2039,EU28,Precast concrete,0.0
2040,EU28,Transport concrete,0.0
2040,EU28,Precast concrete,0.0
2041,EU28,Transport concrete,0.0
2041,EU28,Precast concrete,0.0
2042,EU28,Transport concrete,0.0
2042,EU28,Precast concrete,0.0
2043,EU28,Transport concrete,0.0
2043,EU28,Precast concrete,0.0
2044,EU28,Transport concrete,0.0
2044,EU28,Precast concrete,0.0
2045,EU28,Transport concrete,0.0
2045,EU28,Precast concrete,0.0
2046,EU28,Transport concrete,0.0
2046,EU28,Precast concrete,0.0
2047,EU28,Transport concrete,0.0
2047,EU28,Precast concrete,0.0
2048,EU28,Transport concrete,0.0
2048,EU28,Precast concrete,0.0
2049,EU28,Transport concrete,0.0
2049,EU28,Precast concrete,0.0
2050,EU28,Transport concrete,0.0
2050,EU28,Precast concrete,0.0
