,region,time,sector,polymer,element,mechanical_recycling_cycle,value
0,EU27+3,2018.25,single-use beverage bottles,PET,All,1,175.57957957957956
1,EU27+3,2018.25,single-use non-beverage bottles,PET,All,1,17.5015015015015
2,EU27+3,2018.25,single-use sheet (tray),PET,All,1,110.74874874874878
3,EU27+3,2018.5,single-use beverage bottles,PET,All,1,133.44048048048046
4,EU27+3,2018.5,single-use beverage bottles,PET,All,2,42.13909909909909
5,EU27+3,2018.5,single-use non-beverage bottles,PET,All,1,13.301141141141143
6,EU27+3,2018.5,single-use non-beverage bottles,PET,All,2,4.200360360360361
7,EU27+3,2018.5,single-use sheet (tray),PET,All,1,62.019299299299284
8,EU27+3,2018.5,single-use sheet (tray),PET,All,2,48.72944944944945
9,EU27+3,2018.75,single-use beverage bottles,PET,All,1,133.4404804804805
10,EU27+3,2018.75,single-use beverage bottles,PET,All,2,32.02571531531531
11,EU27+3,2018.75,single-use beverage bottles,PET,All,3,10.113383783783782
12,EU27+3,2018.75,single-use non-beverage bottles,PET,All,1,13.30114114114114
13,EU27+3,2018.75,single-use non-beverage bottles,PET,All,2,3.192273873873874
14,EU27+3,2018.75,single-use non-beverage bottles,PET,All,3,1.0080864864864862
15,EU27+3,2018.75,single-use sheet (tray),PET,All,1,62.019299299299284
16,EU27+3,2018.75,single-use sheet (tray),PET,All,2,27.288491691691686
17,EU27+3,2018.75,single-use sheet (tray),PET,All,3,21.440957757757754
18,EU27+3,2019.0,single-use beverage bottles,PET,All,1,138.10416388470992
19,EU27+3,2019.0,single-use beverage bottles,PET,All,2,33.14499933233037
20,EU27+3,2019.0,single-use beverage bottles,PET,All,3,7.95479983975929
21,EU27+3,2019.0,single-use beverage bottles,PET,All,4,2.512042054660829
22,EU27+3,2019.0,single-use non-beverage bottles,PET,All,1,13.763609463121663
23,EU27+3,2019.0,single-use non-beverage bottles,PET,All,2,3.3032662711491985
24,EU27+3,2019.0,single-use non-beverage bottles,PET,All,3,0.7927839050758075
25,EU27+3,2019.0,single-use non-beverage bottles,PET,All,4,0.25035281212920235
26,EU27+3,2019.0,single-use sheet (tray),PET,All,1,64.65841841841842
27,EU27+3,2019.0,single-use sheet (tray),PET,All,2,28.449704104104104
28,EU27+3,2019.0,single-use sheet (tray),PET,All,3,12.517869805805804
29,EU27+3,2019.0,single-use sheet (tray),PET,All,4,9.835469133133131
30,EU27+3,2019.25,single-use beverage bottles,PET,All,1,138.1041638847099
31,EU27+3,2019.25,single-use beverage bottles,PET,All,2,33.14499933233038
32,EU27+3,2019.25,single-use beverage bottles,PET,All,3,7.954799839759291
33,EU27+3,2019.25,single-use beverage bottles,PET,All,4,1.9091519615422294
34,EU27+3,2019.25,single-use beverage bottles,PET,All,5,0.6028900931185989
35,EU27+3,2019.25,reusable beverage bottles,PET,All,1,1.335045939590616
36,EU27+3,2019.25,single-use non-beverage bottles,PET,All,1,13.76360946312166
37,EU27+3,2019.25,single-use non-beverage bottles,PET,All,2,3.3032662711491976
38,EU27+3,2019.25,single-use non-beverage bottles,PET,All,3,0.7927839050758076
39,EU27+3,2019.25,single-use non-beverage bottles,PET,All,4,0.19026813721819377
40,EU27+3,2019.25,single-use non-beverage bottles,PET,All,5,0.06008467491100856
41,EU27+3,2019.25,reusable non-beverage bottles,PET,All,1,0.1330521137884817
42,EU27+3,2019.25,single-use sheet (tray),PET,All,1,64.6584184184184
43,EU27+3,2019.25,single-use sheet (tray),PET,All,2,28.4497041041041
44,EU27+3,2019.25,single-use sheet (tray),PET,All,3,12.517869805805805
45,EU27+3,2019.25,single-use sheet (tray),PET,All,4,5.507862714554554
46,EU27+3,2019.25,single-use sheet (tray),PET,All,5,4.327606418578577
47,EU27+3,2019.5,single-use beverage bottles,PET,All,1,138.1041638847099
48,EU27+3,2019.5,single-use beverage bottles,PET,All,2,33.14499933233037
49,EU27+3,2019.5,single-use beverage bottles,PET,All,3,7.95479983975929
50,EU27+3,2019.5,single-use beverage bottles,PET,All,4,1.9091519615422294
51,EU27+3,2019.5,single-use beverage bottles,PET,All,5,0.4581964707701351
52,EU27+3,2019.5,single-use beverage bottles,PET,All,6,0.14469362234846375
53,EU27+3,2019.5,reusable beverage bottles,PET,All,1,0.40712225927815804
54,EU27+3,2019.5,reusable beverage bottles,PET,All,2,0.12856492398257624
55,EU27+3,2019.5,single-use non-beverage bottles,PET,All,1,13.763609463121659
56,EU27+3,2019.5,single-use non-beverage bottles,PET,All,2,3.303266271149198
57,EU27+3,2019.5,single-use non-beverage bottles,PET,All,3,0.7927839050758072
58,EU27+3,2019.5,single-use non-beverage bottles,PET,All,4,0.1902681372181938
59,EU27+3,2019.5,single-use non-beverage bottles,PET,All,5,0.04566435293236649
60,EU27+3,2019.5,single-use non-beverage bottles,PET,All,6,0.014420321978642051
61,EU27+3,2019.5,reusable non-beverage bottles,PET,All,1,0.05100220151796974
62,EU27+3,2019.5,reusable non-beverage bottles,PET,All,2,0.016105958374095713
63,EU27+3,2019.5,single-use sheet (tray),PET,All,1,64.65841841841845
64,EU27+3,2019.5,single-use sheet (tray),PET,All,2,28.449704104104118
65,EU27+3,2019.5,single-use sheet (tray),PET,All,3,12.517869805805812
66,EU27+3,2019.5,single-use sheet (tray),PET,All,4,5.507862714554557
67,EU27+3,2019.5,single-use sheet (tray),PET,All,5,2.4234595944040045
68,EU27+3,2019.5,single-use sheet (tray),PET,All,6,1.9041468241745751
69,EU27+3,2019.75,single-use beverage bottles,PET,All,1,138.10416388470986
70,EU27+3,2019.75,single-use beverage bottles,PET,All,2,33.14499933233037
71,EU27+3,2019.75,single-use beverage bottles,PET,All,3,7.954799839759287
72,EU27+3,2019.75,single-use beverage bottles,PET,All,4,1.9091519615422292
73,EU27+3,2019.75,single-use beverage bottles,PET,All,5,0.45819647077013503
74,EU27+3,2019.75,single-use beverage bottles,PET,All,6,0.10996715298483238
75,EU27+3,2019.75,single-use beverage bottles,PET,All,7,0.034726469363631295
76,EU27+3,2019.75,reusable beverage bottles,PET,All,1,0.3931710292094368
77,EU27+3,2019.75,reusable beverage bottles,PET,All,2,0.0943610470102648
78,EU27+3,2019.75,reusable beverage bottles,PET,All,3,0.02979822537166257
79,EU27+3,2019.75,single-use non-beverage bottles,PET,All,1,13.763609463121659
80,EU27+3,2019.75,single-use non-beverage bottles,PET,All,2,3.303266271149197
81,EU27+3,2019.75,single-use non-beverage bottles,PET,All,3,0.7927839050758074
82,EU27+3,2019.75,single-use non-beverage bottles,PET,All,4,0.19026813721819372
83,EU27+3,2019.75,single-use non-beverage bottles,PET,All,5,0.0456643529323665
84,EU27+3,2019.75,single-use non-beverage bottles,PET,All,6,0.010959444703767956
85,EU27+3,2019.75,single-use non-beverage bottles,PET,All,7,0.003460877274874091
86,EU27+3,2019.75,reusable non-beverage bottles,PET,All,1,0.051697398812514575
87,EU27+3,2019.75,reusable non-beverage bottles,PET,All,2,0.012407375715003499
88,EU27+3,2019.75,reusable non-beverage bottles,PET,All,3,0.003918118646843211
89,EU27+3,2019.75,single-use sheet (tray),PET,All,1,64.65841841841842
90,EU27+3,2019.75,single-use sheet (tray),PET,All,2,28.449704104104107
91,EU27+3,2019.75,single-use sheet (tray),PET,All,3,12.517869805805805
92,EU27+3,2019.75,single-use sheet (tray),PET,All,4,5.507862714554555
93,EU27+3,2019.75,single-use sheet (tray),PET,All,5,2.4234595944040045
94,EU27+3,2019.75,single-use sheet (tray),PET,All,6,1.0663222215377617
95,EU27+3,2019.75,single-use sheet (tray),PET,All,7,0.8378246026368128
96,EU27+3,2020.0,single-use beverage bottles,PET,All,1,131.50841545286968
97,EU27+3,2020.0,single-use beverage bottles,PET,All,2,31.56201970868872
98,EU27+3,2020.0,single-use beverage bottles,PET,All,3,7.5748847300852935
99,EU27+3,2020.0,single-use beverage bottles,PET,All,4,1.81797233522047
100,EU27+3,2020.0,single-use beverage bottles,PET,All,5,0.43631336045291297
101,EU27+3,2020.0,single-use beverage bottles,PET,All,6,0.1047152065086991
102,EU27+3,2020.0,single-use beverage bottles,PET,All,7,0.025131649562087775
103,EU27+3,2020.0,reusable beverage bottles,PET,All,1,1.3026815085574797
104,EU27+3,2020.0,reusable beverage bottles,PET,All,2,0.3126435620537952
105,EU27+3,2020.0,reusable beverage bottles,PET,All,3,0.0750344548929108
106,EU27+3,2020.0,reusable beverage bottles,PET,All,4,0.023695091018813938
107,EU27+3,2020.0,single-use non-beverage bottles,PET,All,1,13.104004672771945
108,EU27+3,2020.0,single-use non-beverage bottles,PET,All,2,3.144961121465266
109,EU27+3,2020.0,single-use non-beverage bottles,PET,All,3,0.7547906691516637
110,EU27+3,2020.0,single-use non-beverage bottles,PET,All,4,0.18114976059639928
111,EU27+3,2020.0,single-use non-beverage bottles,PET,All,5,0.04347594254313582
112,EU27+3,2020.0,single-use non-beverage bottles,PET,All,6,0.010434226210352598
113,EU27+3,2020.0,single-use non-beverage bottles,PET,All,7,0.0025042142904846223
114,EU27+3,2020.0,reusable non-beverage bottles,PET,All,1,0.14439239665011966
115,EU27+3,2020.0,reusable non-beverage bottles,PET,All,2,0.03465417519602871
116,EU27+3,2020.0,reusable non-beverage bottles,PET,All,3,0.008317002047046893
117,EU27+3,2020.0,reusable non-beverage bottles,PET,All,4,0.00262642169906744
118,EU27+3,2020.0,single-use sheet (tray),PET,All,1,62.217947398972626
119,EU27+3,2020.0,single-use sheet (tray),PET,All,2,27.375896855547957
120,EU27+3,2020.0,single-use sheet (tray),PET,All,3,12.0453946164411
121,EU27+3,2020.0,single-use sheet (tray),PET,All,4,5.299973631234084
122,EU27+3,2020.0,single-use sheet (tray),PET,All,5,2.331988397742997
123,EU27+3,2020.0,single-use sheet (tray),PET,All,6,1.0260748950069187
124,EU27+3,2020.0,single-use sheet (tray),PET,All,7,0.45147295380304414
125,EU27+3,2020.25,single-use beverage bottles,PET,All,1,131.5069680296536
126,EU27+3,2020.25,single-use beverage bottles,PET,All,2,31.56311996059438
127,EU27+3,2020.25,single-use beverage bottles,PET,All,3,7.57514879054265
128,EU27+3,2020.25,single-use beverage bottles,PET,All,4,1.8180357097302358
129,EU27+3,2020.25,single-use beverage bottles,PET,All,5,0.43632857033525657
130,EU27+3,2020.25,single-use beverage bottles,PET,All,6,0.10471885688046159
131,EU27+3,2020.25,single-use beverage bottles,PET,All,7,0.02513252565131079
132,EU27+3,2020.25,reusable beverage bottles,PET,All,1,0.697714784462028
133,EU27+3,2020.25,reusable beverage bottles,PET,All,2,0.16745154827088665
134,EU27+3,2020.25,reusable beverage bottles,PET,All,3,0.04018837158501281
135,EU27+3,2020.25,reusable beverage bottles,PET,All,4,0.009645209180403071
136,EU27+3,2020.25,reusable beverage bottles,PET,All,5,0.0030458555306536006
137,EU27+3,2020.25,single-use non-beverage bottles,PET,All,1,13.103860445951753
138,EU27+3,2020.25,single-use non-beverage bottles,PET,All,2,3.145070754799855
139,EU27+3,2020.25,single-use non-beverage bottles,PET,All,3,0.754816981151965
140,EU27+3,2020.25,single-use non-beverage bottles,PET,All,4,0.18115607547647156
141,EU27+3,2020.25,single-use non-beverage bottles,PET,All,5,0.04347745811435318
142,EU27+3,2020.25,single-use non-beverage bottles,PET,All,6,0.01043458994744476
143,EU27+3,2020.25,single-use non-beverage bottles,PET,All,7,0.002504301587386742
144,EU27+3,2020.25,reusable non-beverage bottles,PET,All,1,0.10138768868671094
145,EU27+3,2020.25,reusable non-beverage bottles,PET,All,2,0.02433304528481062
146,EU27+3,2020.25,reusable non-beverage bottles,PET,All,3,0.00583993086835455
147,EU27+3,2020.25,reusable non-beverage bottles,PET,All,4,0.0014015834084050924
148,EU27+3,2020.25,reusable non-beverage bottles,PET,All,5,0.00044260528686476593
149,EU27+3,2020.25,single-use sheet (tray),PET,All,1,62.130742128175484
150,EU27+3,2020.25,single-use sheet (tray),PET,All,2,27.42508875908563
