,region,time,sector,polymer,element,mechanical_recycling_cycle,value
0,EU27+3,2018.25,single-use beverage bottles,PET,All,1,107.46933433433435
1,EU27+3,2018.25,single-use non-beverage bottles,PET,All,1,-4.375375375375377
2,EU27+3,2018.25,single-use sheet (tray),PET,All,1,-103.82695195195198
3,EU27+3,2018.5,single-use beverage bottles,PET,All,1,87.25756418918922
4,EU27+3,2018.5,single-use beverage bottles,PET,All,2,27.555020270270283
5,EU27+3,2018.5,single-use non-beverage bottles,PET,All,1,-3.075888888888891
6,EU27+3,2018.5,single-use non-beverage bottles,PET,All,2,-0.9713333333333338
7,EU27+3,2018.5,single-use sheet (tray),PET,All,1,-58.14309309309308
8,EU27+3,2018.5,single-use sheet (tray),PET,All,2,-45.683858858858855
9,EU27+3,2018.75,single-use beverage bottles,PET,All,1,92.83843428428428
10,EU27+3,2018.75,single-use beverage bottles,PET,All,2,22.281224228228226
11,EU27+3,2018.75,single-use beverage bottles,PET,All,3,7.03617607207207
12,EU27+3,2018.75,single-use non-beverage bottles,PET,All,1,-2.826492492492492
13,EU27+3,2018.75,single-use non-beverage bottles,PET,All,2,-0.6783581981981981
14,EU27+3,2018.75,single-use non-beverage bottles,PET,All,3,-0.21421837837837832
15,EU27+3,2018.75,single-use sheet (tray),PET,All,1,-58.14309309309308
16,EU27+3,2018.75,single-use sheet (tray),PET,All,2,-25.582960960960957
17,EU27+3,2018.75,single-use sheet (tray),PET,All,3,-20.100897897897894
18,EU27+3,2019.0,single-use beverage bottles,PET,All,1,93.75562097514992
19,EU27+3,2019.0,single-use beverage bottles,PET,All,2,22.50134903403598
20,EU27+3,2019.0,single-use beverage bottles,PET,All,3,5.400323768168636
21,EU27+3,2019.0,single-use beverage bottles,PET,All,4,1.705365400474306
22,EU27+3,2019.0,single-use non-beverage bottles,PET,All,1,-3.0395644180766164
23,EU27+3,2019.0,single-use non-beverage bottles,PET,All,2,-0.7294954603383879
24,EU27+3,2019.0,single-use non-beverage bottles,PET,All,3,-0.17507891048121307
25,EU27+3,2019.0,single-use non-beverage bottles,PET,All,4,-0.055288076994067285
26,EU27+3,2019.0,single-use sheet (tray),PET,All,1,-60.78221221221221
27,EU27+3,2019.0,single-use sheet (tray),PET,All,2,-26.744173373373375
28,EU27+3,2019.0,single-use sheet (tray),PET,All,3,-11.767436284284283
29,EU27+3,2019.0,single-use sheet (tray),PET,All,4,-9.245842794794793
30,EU27+3,2019.25,single-use beverage bottles,PET,All,1,107.63493272764576
31,EU27+3,2019.25,single-use beverage bottles,PET,All,2,25.832383854634987
32,EU27+3,2019.25,single-use beverage bottles,PET,All,3,6.199772125112396
33,EU27+3,2019.25,single-use beverage bottles,PET,All,4,1.487945310026975
34,EU27+3,2019.25,single-use beverage bottles,PET,All,5,0.469877466324308
35,EU27+3,2019.25,reusable beverage bottles,PET,All,1,-0.5857982994840109
36,EU27+3,2019.25,single-use non-beverage bottles,PET,All,1,-2.408631656046291
37,EU27+3,2019.25,single-use non-beverage bottles,PET,All,2,-0.5780715974511097
38,EU27+3,2019.25,single-use non-beverage bottles,PET,All,3,-0.13873718338826635
39,EU27+3,2019.25,single-use non-beverage bottles,PET,All,4,-0.03329692401318392
40,EU27+3,2019.25,single-use non-beverage bottles,PET,All,5,-0.0105148181094265
41,EU27+3,2019.25,reusable non-beverage bottles,PET,All,1,-0.09154883530415614
42,EU27+3,2019.25,single-use sheet (tray),PET,All,1,-60.61726726726725
43,EU27+3,2019.25,single-use sheet (tray),PET,All,2,-26.671597597597593
44,EU27+3,2019.25,single-use sheet (tray),PET,All,3,-11.735502942942942
45,EU27+3,2019.25,single-use sheet (tray),PET,All,4,-5.163621294894894
46,EU27+3,2019.25,single-use sheet (tray),PET,All,5,-4.057131017417416
47,EU27+3,2019.5,single-use beverage bottles,PET,All,1,113.41085166511569
48,EU27+3,2019.5,single-use beverage bottles,PET,All,2,27.21860439962776
49,EU27+3,2019.5,single-use beverage bottles,PET,All,3,6.532465055910664
50,EU27+3,2019.5,single-use beverage bottles,PET,All,4,1.5677916134185592
51,EU27+3,2019.5,single-use beverage bottles,PET,All,5,0.3762699872204542
52,EU27+3,2019.5,single-use beverage bottles,PET,All,6,0.11882210122751188
53,EU27+3,2019.5,reusable beverage bottles,PET,All,1,0.3343279511478504
54,EU27+3,2019.5,reusable beverage bottles,PET,All,2,0.10557724773090013
55,EU27+3,2019.5,single-use non-beverage bottles,PET,All,1,-2.1505639786127584
56,EU27+3,2019.5,single-use non-beverage bottles,PET,All,2,-0.516135354867062
57,EU27+3,2019.5,single-use non-beverage bottles,PET,All,3,-0.12387248516809485
58,EU27+3,2019.5,single-use non-beverage bottles,PET,All,4,-0.02972939644034277
59,EU27+3,2019.5,single-use non-beverage bottles,PET,All,5,-0.007135055145682262
60,EU27+3,2019.5,single-use non-beverage bottles,PET,All,6,-0.0022531753091628195
61,EU27+3,2019.5,reusable non-beverage bottles,PET,All,1,-0.007969093987182778
62,EU27+3,2019.5,reusable non-beverage bottles,PET,All,2,-0.0025165559959524565
63,EU27+3,2019.5,single-use sheet (tray),PET,All,1,-60.617267267267295
64,EU27+3,2019.5,single-use sheet (tray),PET,All,2,-26.67159759759761
65,EU27+3,2019.5,single-use sheet (tray),PET,All,3,-11.735502942942949
66,EU27+3,2019.5,single-use sheet (tray),PET,All,4,-5.163621294894898
67,EU27+3,2019.5,single-use sheet (tray),PET,All,5,-2.2719933697537544
68,EU27+3,2019.5,single-use sheet (tray),PET,All,6,-1.7851376476636642
