Region,Vehicle size,Time,Value
AUT,light truck,2012,0.1428576510216006
AUT,light truck,2013,0.1428576510216006
AUT,light truck,2014,0.1428576510216006
AUT,light truck,2015,0.1428576510216006
AUT,light truck,2016,0.1354901234051373
AUT,light truck,2017,0.1281461844576701
AUT,light truck,2018,0.1208494228481952
AUT,light truck,2019,0.1136234272457087
AUT,light truck,2020,0.1064917863192069
AUT,light truck,2021,0.09947808873768572
AUT,light truck,2022,0.09260592317014146
AUT,light truck,2023,0.0858988782855702
AUT,light truck,2024,0.0793805427529682
AUT,light truck,2025,0.0730745052413315
AUT,light truck,2026,0.0670043544196562
AUT,light truck,2027,0.0611936789569386
AUT,light truck,2028,0.05760150746121467
AUT,light truck,2029,0.05405193088441239
AUT,light truck,2030,0.05058754414545333
AUT,light truck,2031,0.04725094216325918
AUT,light truck,2032,0.044084719856751525
AUT,light truck,2033,0.04113147214485201
AUT,light truck,2034,0.03843379394648226
AUT,light truck,2035,0.03603428018056391
AUT,light truck,2036,0.03397552576601858
AUT,light truck,2037,0.032300125621767886
AUT,light truck,2038,0.031050674666733488
AUT,light truck,2039,0.030269767819836972
AUT,light truck,2040,0.03
AUT,light truck,2041,0.03
AUT,light truck,2042,0.03
AUT,light truck,2043,0.03
AUT,light truck,2044,0.03
AUT,light truck,2045,0.03
AUT,light truck,2046,0.03
AUT,light truck,2047,0.03
AUT,light truck,2048,0.03
AUT,light truck,2049,0.03
AUT,light truck,2050,0.03
AUT,microcar,2012,0.07714234897839932
AUT,microcar,2013,0.07714234897839932
AUT,microcar,2014,0.07714234897839932
AUT,microcar,2015,0.07714234897839932
AUT,microcar,2016,0.07731371659486266
AUT,microcar,2017,0.07748453554232988
AUT,microcar,2018,0.07765425715180478
AUT,microcar,2019,0.07782233275429125
AUT,microcar,2020,0.07798821368079313
AUT,microcar,2021,0.07815135126231426
AUT,microcar,2022,0.07831119682985851
AUT,microcar,2023,0.0784672017144297
AUT,microcar,2024,0.0786188172470317
AUT,microcar,2025,0.0787654947586685
AUT,microcar,2026,0.0789066855803437
AUT,microcar,2027,0.0790418410430613
AUT,microcar,2028,0.08145532043136602
AUT,microcar,2029,0.08384018148700315
AUT,microcar,2030,0.08616780587730492
AUT,microcar,2031,0.0884095752696038
AUT,microcar,2032,0.09053687133123206
AUT,microcar,2033,0.09252107572952209
AUT,microcar,2034,0.0943335701318063
AUT,microcar,2035,0.09594573620541696
AUT,microcar,2036,0.0973289556176865
AUT,microcar,2037,0.09845461003594717
AUT,microcar,2038,0.09929408112753145
AUT,microcar,2039,0.09981875055977159
AUT,microcar,2040,0.1
AUT,microcar,2041,0.1
AUT,microcar,2042,0.1
AUT,microcar,2043,0.1
AUT,microcar,2044,0.1
AUT,microcar,2045,0.1
AUT,microcar,2046,0.1
AUT,microcar,2047,0.1
AUT,microcar,2048,0.1
AUT,microcar,2049,0.1
AUT,microcar,2050,0.1
AUT,minivan_SUV,2012,0.24
AUT,minivan_SUV,2013,0.24
AUT,minivan_SUV,2014,0.24
AUT,minivan_SUV,2015,0.24
AUT,minivan_SUV,2016,0.24419776
AUT,minivan_SUV,2017,0.24838208
AUT,minivan_SUV,2018,0.25253952
AUT,minivan_SUV,2019,0.25665664
AUT,minivan_SUV,2020,0.26072
AUT,minivan_SUV,2021,0.26471616
AUT,minivan_SUV,2022,0.26863168
AUT,minivan_SUV,2023,0.27245312
AUT,minivan_SUV,2024,0.27616704
AUT,minivan_SUV,2025,0.27976
AUT,minivan_SUV,2026,0.28321856
AUT,minivan_SUV,2027,0.28652928
AUT,minivan_SUV,2028,0.2708069732908512
AUT,minivan_SUV,2029,0.25527109709604007
AUT,minivan_SUV,2030,0.2401080819299044
AUT,minivan_SUV,2031,0.225504358306782
AUT,minivan_SUV,2032,0.21164635674101046
AUT,minivan_SUV,2033,0.1987205077469276
AUT,minivan_SUV,2034,0.18691324183887115
AUT,minivan_SUV,2035,0.17641098953117887
AUT,minivan_SUV,2036,0.16740018133818846
AUT,minivan_SUV,2037,0.1600672477742376
AUT,minivan_SUV,2038,0.15459861935366412
AUT,minivan_SUV,2039,0.15118072659080561
AUT,minivan_SUV,2040,0.15
AUT,minivan_SUV,2041,0.15
AUT,minivan_SUV,2042,0.15
AUT,minivan_SUV,2043,0.15
AUT,minivan_SUV,2044,0.15
AUT,minivan_SUV,2045,0.15
AUT,minivan_SUV,2046,0.15
AUT,minivan_SUV,2047,0.15
AUT,minivan_SUV,2048,0.15
AUT,minivan_SUV,2049,0.15
AUT,minivan_SUV,2050,0.15
AUT,passenger car,2012,0.54
AUT,passenger car,2013,0.54
AUT,passenger car,2014,0.54
AUT,passenger car,2015,0.54
AUT,passenger car,2016,0.5429984
AUT,passenger car,2017,0.5459872
AUT,passenger car,2018,0.5489568000000002
AUT,passenger car,2019,0.5518976
AUT,passenger car,2020,0.5548
AUT,passenger car,2021,0.5576544
AUT,passenger car,2022,0.5604511999999999
AUT,passenger car,2023,0.5631808
AUT,passenger car,2024,0.5658335999999999
AUT,passenger car,2025,0.5684
AUT,passenger car,2026,0.5708704
AUT,passenger car,2027,0.5732352
AUT,passenger car,2028,0.5901361988165679
AUT,passenger car,2029,0.6068367905325445
AUT,passenger car,2030,0.6231365680473373
AUT,passenger car,2031,0.638835124260355
AUT,passenger car,2032,0.653732052071006
AUT,passenger car,2033,0.6676269443786981
AUT,passenger car,2034,0.6803193940828401
AUT,passenger car,2035,0.6916089940828403
AUT,passenger car,2036,0.7012953372781067
AUT,passenger car,2037,0.7091780165680474
AUT,passenger car,2038,0.7150566248520711
AUT,passenger car,2039,0.7187307550295857
AUT,passenger car,2040,0.72
AUT,passenger car,2041,0.72
AUT,passenger car,2042,0.72
AUT,passenger car,2043,0.72
AUT,passenger car,2044,0.72
AUT,passenger car,2045,0.72
AUT,passenger car,2046,0.72
AUT,passenger car,2047,0.72
AUT,passenger car,2048,0.72
AUT,passenger car,2049,0.72
AUT,passenger car,2050,0.72
BEL,light truck,2012,0.1428576510216006
BEL,light truck,2013,0.1428576510216006
BEL,light truck,2014,0.1428576510216006
BEL,light truck,2015,0.1428576510216006
BEL,light truck,2016,0.1354901234051373
BEL,light truck,2017,0.1281461844576701
BEL,light truck,2018,0.1208494228481952
BEL,light truck,2019,0.1136234272457087
BEL,light truck,2020,0.1064917863192069
BEL,light truck,2021,0.09947808873768572
BEL,light truck,2022,0.09260592317014146
BEL,light truck,2023,0.0858988782855702
BEL,light truck,2024,0.0793805427529682
BEL,light truck,2025,0.0730745052413315
BEL,light truck,2026,0.0670043544196562
BEL,light truck,2027,0.0611936789569386
BEL,light truck,2028,0.05760150746121467
BEL,light truck,2029,0.05405193088441239
BEL,light truck,2030,0.05058754414545333
BEL,light truck,2031,0.04725094216325918
BEL,light truck,2032,0.044084719856751525
BEL,light truck,2033,0.04113147214485201
BEL,light truck,2034,0.03843379394648226
BEL,light truck,2035,0.03603428018056391
BEL,light truck,2036,0.03397552576601858
BEL,light truck,2037,0.032300125621767886
BEL,light truck,2038,0.031050674666733488
BEL,light truck,2039,0.030269767819836972
BEL,light truck,2040,0.03
BEL,light truck,2041,0.03
BEL,light truck,2042,0.03
BEL,light truck,2043,0.03
BEL,light truck,2044,0.03
BEL,light truck,2045,0.03
BEL,light truck,2046,0.03
BEL,light truck,2047,0.03
BEL,light truck,2048,0.03
BEL,light truck,2049,0.03
BEL,light truck,2050,0.03
BEL,microcar,2012,0.07714234897839932
BEL,microcar,2013,0.07714234897839932
BEL,microcar,2014,0.07714234897839932
BEL,microcar,2015,0.07714234897839932
BEL,microcar,2016,0.07731371659486266
BEL,microcar,2017,0.07748453554232988
BEL,microcar,2018,0.07765425715180478
BEL,microcar,2019,0.07782233275429125
BEL,microcar,2020,0.07798821368079313
BEL,microcar,2021,0.07815135126231426
BEL,microcar,2022,0.07831119682985851
BEL,microcar,2023,0.0784672017144297
BEL,microcar,2024,0.0786188172470317
BEL,microcar,2025,0.0787654947586685
BEL,microcar,2026,0.0789066855803437
BEL,microcar,2027,0.0790418410430613
BEL,microcar,2028,0.08145532043136602
BEL,microcar,2029,0.08384018148700315
BEL,microcar,2030,0.08616780587730492
BEL,microcar,2031,0.0884095752696038
BEL,microcar,2032,0.09053687133123206
BEL,microcar,2033,0.09252107572952209
BEL,microcar,2034,0.0943335701318063
BEL,microcar,2035,0.09594573620541696
BEL,microcar,2036,0.0973289556176865
BEL,microcar,2037,0.09845461003594717
BEL,microcar,2038,0.09929408112753145
BEL,microcar,2039,0.09981875055977159
BEL,microcar,2040,0.1
BEL,microcar,2041,0.1
BEL,microcar,2042,0.1
BEL,microcar,2043,0.1
BEL,microcar,2044,0.1
BEL,microcar,2045,0.1
BEL,microcar,2046,0.1
BEL,microcar,2047,0.1
BEL,microcar,2048,0.1
BEL,microcar,2049,0.1
BEL,microcar,2050,0.1
BEL,minivan_SUV,2012,0.24
BEL,minivan_SUV,2013,0.24
BEL,minivan_SUV,2014,0.24
BEL,minivan_SUV,2015,0.24
BEL,minivan_SUV,2016,0.24419776
BEL,minivan_SUV,2017,0.24838208
BEL,minivan_SUV,2018,0.25253952
BEL,minivan_SUV,2019,0.25665664
BEL,minivan_SUV,2020,0.26072
BEL,minivan_SUV,2021,0.26471616
BEL,minivan_SUV,2022,0.26863168
BEL,minivan_SUV,2023,0.27245312
BEL,minivan_SUV,2024,0.27616704
BEL,minivan_SUV,2025,0.27976
BEL,minivan_SUV,2026,0.28321856
BEL,minivan_SUV,2027,0.28652928
BEL,minivan_SUV,2028,0.2708069732908512
BEL,minivan_SUV,2029,0.25527109709604007
BEL,minivan_SUV,2030,0.2401080819299044
BEL,minivan_SUV,2031,0.225504358306782
BEL,minivan_SUV,2032,0.21164635674101046
BEL,minivan_SUV,2033,0.1987205077469276
BEL,minivan_SUV,2034,0.18691324183887115
BEL,minivan_SUV,2035,0.17641098953117887
BEL,minivan_SUV,2036,0.16740018133818846
BEL,minivan_SUV,2037,0.1600672477742376
BEL,minivan_SUV,2038,0.15459861935366412
BEL,minivan_SUV,2039,0.15118072659080561
BEL,minivan_SUV,2040,0.15
BEL,minivan_SUV,2041,0.15
BEL,minivan_SUV,2042,0.15
BEL,minivan_SUV,2043,0.15
BEL,minivan_SUV,2044,0.15
BEL,minivan_SUV,2045,0.15
BEL,minivan_SUV,2046,0.15
BEL,minivan_SUV,2047,0.15
BEL,minivan_SUV,2048,0.15
BEL,minivan_SUV,2049,0.15
BEL,minivan_SUV,2050,0.15
BEL,passenger car,2012,0.54
BEL,passenger car,2013,0.54
BEL,passenger car,2014,0.54
BEL,passenger car,2015,0.54
BEL,passenger car,2016,0.5429984
BEL,passenger car,2017,0.5459872
BEL,passenger car,2018,0.5489568000000002
BEL,passenger car,2019,0.5518976
BEL,passenger car,2020,0.5548
BEL,passenger car,2021,0.5576544
BEL,passenger car,2022,0.5604511999999999
BEL,passenger car,2023,0.5631808
BEL,passenger car,2024,0.5658335999999999
BEL,passenger car,2025,0.5684
BEL,passenger car,2026,0.5708704
BEL,passenger car,2027,0.5732352
BEL,passenger car,2028,0.5901361988165679
BEL,passenger car,2029,0.6068367905325445
BEL,passenger car,2030,0.6231365680473373
BEL,passenger car,2031,0.638835124260355
BEL,passenger car,2032,0.653732052071006
BEL,passenger car,2033,0.6676269443786981
BEL,passenger car,2034,0.6803193940828401
BEL,passenger car,2035,0.6916089940828403
BEL,passenger car,2036,0.7012953372781067
BEL,passenger car,2037,0.7091780165680474
BEL,passenger car,2038,0.7150566248520711
BEL,passenger car,2039,0.7187307550295857
BEL,passenger car,2040,0.72
BEL,passenger car,2041,0.72
BEL,passenger car,2042,0.72
BEL,passenger car,2043,0.72
BEL,passenger car,2044,0.72
BEL,passenger car,2045,0.72
BEL,passenger car,2046,0.72
BEL,passenger car,2047,0.72
BEL,passenger car,2048,0.72
BEL,passenger car,2049,0.72
BEL,passenger car,2050,0.72
BGR,light truck,2012,0.1428576510216006
BGR,light truck,2013,0.1428576510216006
BGR,light truck,2014,0.1428576510216006
BGR,light truck,2015,0.1428576510216006
BGR,light truck,2016,0.1354901234051373
BGR,light truck,2017,0.1281461844576701
BGR,light truck,2018,0.1208494228481952
BGR,light truck,2019,0.1136234272457087
BGR,light truck,2020,0.1064917863192069
BGR,light truck,2021,0.09947808873768572
BGR,light truck,2022,0.09260592317014146
BGR,light truck,2023,0.0858988782855702
BGR,light truck,2024,0.0793805427529682
BGR,light truck,2025,0.0730745052413315
BGR,light truck,2026,0.0670043544196562
BGR,light truck,2027,0.0611936789569386
BGR,light truck,2028,0.05760150746121467
BGR,light truck,2029,0.05405193088441239
BGR,light truck,2030,0.05058754414545333
BGR,light truck,2031,0.04725094216325918
BGR,light truck,2032,0.044084719856751525
BGR,light truck,2033,0.04113147214485201
BGR,light truck,2034,0.03843379394648226
BGR,light truck,2035,0.03603428018056391
BGR,light truck,2036,0.03397552576601858
BGR,light truck,2037,0.032300125621767886
BGR,light truck,2038,0.031050674666733488
BGR,light truck,2039,0.030269767819836972
BGR,light truck,2040,0.03
BGR,light truck,2041,0.03
BGR,light truck,2042,0.03
BGR,light truck,2043,0.03
BGR,light truck,2044,0.03
BGR,light truck,2045,0.03
BGR,light truck,2046,0.03
BGR,light truck,2047,0.03
BGR,light truck,2048,0.03
BGR,light truck,2049,0.03
BGR,light truck,2050,0.03
BGR,microcar,2012,0.07714234897839932
BGR,microcar,2013,0.07714234897839932
BGR,microcar,2014,0.07714234897839932
BGR,microcar,2015,0.07714234897839932
BGR,microcar,2016,0.07731371659486266
BGR,microcar,2017,0.07748453554232988
BGR,microcar,2018,0.07765425715180478
BGR,microcar,2019,0.07782233275429125
BGR,microcar,2020,0.07798821368079313
BGR,microcar,2021,0.07815135126231426
BGR,microcar,2022,0.07831119682985851
BGR,microcar,2023,0.0784672017144297
BGR,microcar,2024,0.0786188172470317
BGR,microcar,2025,0.0787654947586685
BGR,microcar,2026,0.0789066855803437
BGR,microcar,2027,0.0790418410430613
BGR,microcar,2028,0.08145532043136602
BGR,microcar,2029,0.08384018148700315
BGR,microcar,2030,0.08616780587730492
BGR,microcar,2031,0.0884095752696038
BGR,microcar,2032,0.09053687133123206
BGR,microcar,2033,0.09252107572952209
BGR,microcar,2034,0.0943335701318063
BGR,microcar,2035,0.09594573620541696
BGR,microcar,2036,0.0973289556176865
BGR,microcar,2037,0.09845461003594717
BGR,microcar,2038,0.09929408112753145
BGR,microcar,2039,0.09981875055977159
BGR,microcar,2040,0.1
BGR,microcar,2041,0.1
BGR,microcar,2042,0.1
BGR,microcar,2043,0.1
BGR,microcar,2044,0.1
BGR,microcar,2045,0.1
BGR,microcar,2046,0.1
BGR,microcar,2047,0.1
BGR,microcar,2048,0.1
BGR,microcar,2049,0.1
BGR,microcar,2050,0.1
BGR,minivan_SUV,2012,0.24
BGR,minivan_SUV,2013,0.24
BGR,minivan_SUV,2014,0.24
BGR,minivan_SUV,2015,0.24
BGR,minivan_SUV,2016,0.24419776
BGR,minivan_SUV,2017,0.24838208
BGR,minivan_SUV,2018,0.25253952
BGR,minivan_SUV,2019,0.25665664
BGR,minivan_SUV,2020,0.26072
BGR,minivan_SUV,2021,0.26471616
BGR,minivan_SUV,2022,0.26863168
BGR,minivan_SUV,2023,0.27245312
BGR,minivan_SUV,2024,0.27616704
BGR,minivan_SUV,2025,0.27976
BGR,minivan_SUV,2026,0.28321856
BGR,minivan_SUV,2027,0.28652928
BGR,minivan_SUV,2028,0.2708069732908512
BGR,minivan_SUV,2029,0.25527109709604007
BGR,minivan_SUV,2030,0.2401080819299044
BGR,minivan_SUV,2031,0.225504358306782
BGR,minivan_SUV,2032,0.21164635674101046
BGR,minivan_SUV,2033,0.1987205077469276
BGR,minivan_SUV,2034,0.18691324183887115
BGR,minivan_SUV,2035,0.17641098953117887
BGR,minivan_SUV,2036,0.16740018133818846
BGR,minivan_SUV,2037,0.1600672477742376
BGR,minivan_SUV,2038,0.15459861935366412
BGR,minivan_SUV,2039,0.15118072659080561
BGR,minivan_SUV,2040,0.15
BGR,minivan_SUV,2041,0.15
BGR,minivan_SUV,2042,0.15
BGR,minivan_SUV,2043,0.15
BGR,minivan_SUV,2044,0.15
BGR,minivan_SUV,2045,0.15
BGR,minivan_SUV,2046,0.15
BGR,minivan_SUV,2047,0.15
BGR,minivan_SUV,2048,0.15
BGR,minivan_SUV,2049,0.15
BGR,minivan_SUV,2050,0.15
BGR,passenger car,2012,0.54
BGR,passenger car,2013,0.54
BGR,passenger car,2014,0.54
BGR,passenger car,2015,0.54
BGR,passenger car,2016,0.5429984
BGR,passenger car,2017,0.5459872
BGR,passenger car,2018,0.5489568000000002
BGR,passenger car,2019,0.5518976
BGR,passenger car,2020,0.5548
BGR,passenger car,2021,0.5576544
BGR,passenger car,2022,0.5604511999999999
BGR,passenger car,2023,0.5631808
BGR,passenger car,2024,0.5658335999999999
BGR,passenger car,2025,0.5684
BGR,passenger car,2026,0.5708704
BGR,passenger car,2027,0.5732352
BGR,passenger car,2028,0.5901361988165679
BGR,passenger car,2029,0.6068367905325445
BGR,passenger car,2030,0.6231365680473373
BGR,passenger car,2031,0.638835124260355
BGR,passenger car,2032,0.653732052071006
BGR,passenger car,2033,0.6676269443786981
BGR,passenger car,2034,0.6803193940828401
BGR,passenger car,2035,0.6916089940828403
BGR,passenger car,2036,0.7012953372781067
BGR,passenger car,2037,0.7091780165680474
BGR,passenger car,2038,0.7150566248520711
BGR,passenger car,2039,0.7187307550295857
BGR,passenger car,2040,0.72
BGR,passenger car,2041,0.72
BGR,passenger car,2042,0.72
BGR,passenger car,2043,0.72
BGR,passenger car,2044,0.72
BGR,passenger car,2045,0.72
BGR,passenger car,2046,0.72
BGR,passenger car,2047,0.72
BGR,passenger car,2048,0.72
BGR,passenger car,2049,0.72
BGR,passenger car,2050,0.72
CYP,light truck,2012,0.1428576510216006
CYP,light truck,2013,0.1428576510216006
CYP,light truck,2014,0.1428576510216006
CYP,light truck,2015,0.1428576510216006
CYP,light truck,2016,0.1354901234051373
CYP,light truck,2017,0.1281461844576701
CYP,light truck,2018,0.1208494228481952
CYP,light truck,2019,0.1136234272457087
CYP,light truck,2020,0.1064917863192069
CYP,light truck,2021,0.09947808873768572
CYP,light truck,2022,0.09260592317014146
CYP,light truck,2023,0.0858988782855702
CYP,light truck,2024,0.0793805427529682
CYP,light truck,2025,0.0730745052413315
CYP,light truck,2026,0.0670043544196562
CYP,light truck,2027,0.0611936789569386
CYP,light truck,2028,0.05760150746121467
CYP,light truck,2029,0.05405193088441239
CYP,light truck,2030,0.05058754414545333
CYP,light truck,2031,0.04725094216325918
CYP,light truck,2032,0.044084719856751525
CYP,light truck,2033,0.04113147214485201
CYP,light truck,2034,0.03843379394648226
CYP,light truck,2035,0.03603428018056391
CYP,light truck,2036,0.03397552576601858
CYP,light truck,2037,0.032300125621767886
CYP,light truck,2038,0.031050674666733488
CYP,light truck,2039,0.030269767819836972
CYP,light truck,2040,0.03
CYP,light truck,2041,0.03
CYP,light truck,2042,0.03
CYP,light truck,2043,0.03
CYP,light truck,2044,0.03
CYP,light truck,2045,0.03
CYP,light truck,2046,0.03
CYP,light truck,2047,0.03
CYP,light truck,2048,0.03
CYP,light truck,2049,0.03
CYP,light truck,2050,0.03
CYP,microcar,2012,0.07714234897839932
CYP,microcar,2013,0.07714234897839932
CYP,microcar,2014,0.07714234897839932
CYP,microcar,2015,0.07714234897839932
CYP,microcar,2016,0.07731371659486266
CYP,microcar,2017,0.07748453554232988
CYP,microcar,2018,0.07765425715180478
CYP,microcar,2019,0.07782233275429125
CYP,microcar,2020,0.07798821368079313
CYP,microcar,2021,0.07815135126231426
CYP,microcar,2022,0.07831119682985851
CYP,microcar,2023,0.0784672017144297
CYP,microcar,2024,0.0786188172470317
CYP,microcar,2025,0.0787654947586685
CYP,microcar,2026,0.0789066855803437
CYP,microcar,2027,0.0790418410430613
CYP,microcar,2028,0.08145532043136602
CYP,microcar,2029,0.08384018148700315
CYP,microcar,2030,0.08616780587730492
CYP,microcar,2031,0.0884095752696038
CYP,microcar,2032,0.09053687133123206
CYP,microcar,2033,0.09252107572952209
CYP,microcar,2034,0.0943335701318063
CYP,microcar,2035,0.09594573620541696
CYP,microcar,2036,0.0973289556176865
CYP,microcar,2037,0.09845461003594717
CYP,microcar,2038,0.09929408112753145
CYP,microcar,2039,0.09981875055977159
CYP,microcar,2040,0.1
CYP,microcar,2041,0.1
CYP,microcar,2042,0.1
CYP,microcar,2043,0.1
CYP,microcar,2044,0.1
CYP,microcar,2045,0.1
CYP,microcar,2046,0.1
CYP,microcar,2047,0.1
CYP,microcar,2048,0.1
CYP,microcar,2049,0.1
CYP,microcar,2050,0.1
CYP,minivan_SUV,2012,0.24
CYP,minivan_SUV,2013,0.24
CYP,minivan_SUV,2014,0.24
CYP,minivan_SUV,2015,0.24
CYP,minivan_SUV,2016,0.24419776
CYP,minivan_SUV,2017,0.24838208
CYP,minivan_SUV,2018,0.25253952
CYP,minivan_SUV,2019,0.25665664
CYP,minivan_SUV,2020,0.26072
CYP,minivan_SUV,2021,0.26471616
CYP,minivan_SUV,2022,0.26863168
CYP,minivan_SUV,2023,0.27245312
CYP,minivan_SUV,2024,0.27616704
CYP,minivan_SUV,2025,0.27976
CYP,minivan_SUV,2026,0.28321856
CYP,minivan_SUV,2027,0.28652928
CYP,minivan_SUV,2028,0.2708069732908512
CYP,minivan_SUV,2029,0.25527109709604007
CYP,minivan_SUV,2030,0.2401080819299044
CYP,minivan_SUV,2031,0.225504358306782
CYP,minivan_SUV,2032,0.21164635674101046
CYP,minivan_SUV,2033,0.1987205077469276
CYP,minivan_SUV,2034,0.18691324183887115
CYP,minivan_SUV,2035,0.17641098953117887
CYP,minivan_SUV,2036,0.16740018133818846
CYP,minivan_SUV,2037,0.1600672477742376
CYP,minivan_SUV,2038,0.15459861935366412
CYP,minivan_SUV,2039,0.15118072659080561
CYP,minivan_SUV,2040,0.15
CYP,minivan_SUV,2041,0.15
CYP,minivan_SUV,2042,0.15
CYP,minivan_SUV,2043,0.15
CYP,minivan_SUV,2044,0.15
CYP,minivan_SUV,2045,0.15
CYP,minivan_SUV,2046,0.15
CYP,minivan_SUV,2047,0.15
CYP,minivan_SUV,2048,0.15
CYP,minivan_SUV,2049,0.15
CYP,minivan_SUV,2050,0.15
CYP,passenger car,2012,0.54
CYP,passenger car,2013,0.54
CYP,passenger car,2014,0.54
CYP,passenger car,2015,0.54
CYP,passenger car,2016,0.5429984
CYP,passenger car,2017,0.5459872
CYP,passenger car,2018,0.5489568000000002
CYP,passenger car,2019,0.5518976
CYP,passenger car,2020,0.5548
CYP,passenger car,2021,0.5576544
CYP,passenger car,2022,0.5604511999999999
CYP,passenger car,2023,0.5631808
CYP,passenger car,2024,0.5658335999999999
CYP,passenger car,2025,0.5684
CYP,passenger car,2026,0.5708704
CYP,passenger car,2027,0.5732352
CYP,passenger car,2028,0.5901361988165679
CYP,passenger car,2029,0.6068367905325445
CYP,passenger car,2030,0.6231365680473373
CYP,passenger car,2031,0.638835124260355
CYP,passenger car,2032,0.653732052071006
CYP,passenger car,2033,0.6676269443786981
CYP,passenger car,2034,0.6803193940828401
CYP,passenger car,2035,0.6916089940828403
CYP,passenger car,2036,0.7012953372781067
CYP,passenger car,2037,0.7091780165680474
CYP,passenger car,2038,0.7150566248520711
CYP,passenger car,2039,0.7187307550295857
CYP,passenger car,2040,0.72
CYP,passenger car,2041,0.72
CYP,passenger car,2042,0.72
CYP,passenger car,2043,0.72
CYP,passenger car,2044,0.72
CYP,passenger car,2045,0.72
CYP,passenger car,2046,0.72
CYP,passenger car,2047,0.72
CYP,passenger car,2048,0.72
CYP,passenger car,2049,0.72
CYP,passenger car,2050,0.72
CZE,light truck,2012,0.1428576510216006
CZE,light truck,2013,0.1428576510216006
CZE,light truck,2014,0.1428576510216006
CZE,light truck,2015,0.1428576510216006
CZE,light truck,2016,0.1354901234051373
CZE,light truck,2017,0.1281461844576701
CZE,light truck,2018,0.1208494228481952
CZE,light truck,2019,0.1136234272457087
CZE,light truck,2020,0.1064917863192069
CZE,light truck,2021,0.09947808873768572
CZE,light truck,2022,0.09260592317014146
CZE,light truck,2023,0.0858988782855702
CZE,light truck,2024,0.0793805427529682
CZE,light truck,2025,0.0730745052413315
CZE,light truck,2026,0.0670043544196562
CZE,light truck,2027,0.0611936789569386
CZE,light truck,2028,0.05760150746121467
CZE,light truck,2029,0.05405193088441239
CZE,light truck,2030,0.05058754414545333
CZE,light truck,2031,0.04725094216325918
CZE,light truck,2032,0.044084719856751525
CZE,light truck,2033,0.04113147214485201
CZE,light truck,2034,0.03843379394648226
CZE,light truck,2035,0.03603428018056391
CZE,light truck,2036,0.03397552576601858
CZE,light truck,2037,0.032300125621767886
CZE,light truck,2038,0.031050674666733488
CZE,light truck,2039,0.030269767819836972
CZE,light truck,2040,0.03
CZE,light truck,2041,0.03
CZE,light truck,2042,0.03
CZE,light truck,2043,0.03
CZE,light truck,2044,0.03
CZE,light truck,2045,0.03
CZE,light truck,2046,0.03
CZE,light truck,2047,0.03
CZE,light truck,2048,0.03
CZE,light truck,2049,0.03
CZE,light truck,2050,0.03
CZE,microcar,2012,0.07714234897839932
CZE,microcar,2013,0.07714234897839932
CZE,microcar,2014,0.07714234897839932
CZE,microcar,2015,0.07714234897839932
CZE,microcar,2016,0.07731371659486266
CZE,microcar,2017,0.07748453554232988
CZE,microcar,2018,0.07765425715180478
CZE,microcar,2019,0.07782233275429125
CZE,microcar,2020,0.07798821368079313
CZE,microcar,2021,0.07815135126231426
CZE,microcar,2022,0.07831119682985851
CZE,microcar,2023,0.0784672017144297
CZE,microcar,2024,0.0786188172470317
CZE,microcar,2025,0.0787654947586685
CZE,microcar,2026,0.0789066855803437
CZE,microcar,2027,0.0790418410430613
CZE,microcar,2028,0.08145532043136602
CZE,microcar,2029,0.08384018148700315
CZE,microcar,2030,0.08616780587730492
CZE,microcar,2031,0.0884095752696038
CZE,microcar,2032,0.09053687133123206
CZE,microcar,2033,0.09252107572952209
CZE,microcar,2034,0.0943335701318063
CZE,microcar,2035,0.09594573620541696
CZE,microcar,2036,0.0973289556176865
CZE,microcar,2037,0.09845461003594717
CZE,microcar,2038,0.09929408112753145
CZE,microcar,2039,0.09981875055977159
CZE,microcar,2040,0.1
CZE,microcar,2041,0.1
CZE,microcar,2042,0.1
CZE,microcar,2043,0.1
CZE,microcar,2044,0.1
CZE,microcar,2045,0.1
CZE,microcar,2046,0.1
CZE,microcar,2047,0.1
CZE,microcar,2048,0.1
CZE,microcar,2049,0.1
CZE,microcar,2050,0.1
CZE,minivan_SUV,2012,0.24
CZE,minivan_SUV,2013,0.24
CZE,minivan_SUV,2014,0.24
CZE,minivan_SUV,2015,0.24
CZE,minivan_SUV,2016,0.24419776
CZE,minivan_SUV,2017,0.24838208
CZE,minivan_SUV,2018,0.25253952
CZE,minivan_SUV,2019,0.25665664
CZE,minivan_SUV,2020,0.26072
CZE,minivan_SUV,2021,0.26471616
CZE,minivan_SUV,2022,0.26863168
CZE,minivan_SUV,2023,0.27245312
CZE,minivan_SUV,2024,0.27616704
CZE,minivan_SUV,2025,0.27976
CZE,minivan_SUV,2026,0.28321856
CZE,minivan_SUV,2027,0.28652928
CZE,minivan_SUV,2028,0.2708069732908512
CZE,minivan_SUV,2029,0.25527109709604007
CZE,minivan_SUV,2030,0.2401080819299044
CZE,minivan_SUV,2031,0.225504358306782
CZE,minivan_SUV,2032,0.21164635674101046
CZE,minivan_SUV,2033,0.1987205077469276
CZE,minivan_SUV,2034,0.18691324183887115
CZE,minivan_SUV,2035,0.17641098953117887
CZE,minivan_SUV,2036,0.16740018133818846
CZE,minivan_SUV,2037,0.1600672477742376
CZE,minivan_SUV,2038,0.15459861935366412
