,region,time,sector,polymer,element,mechanical_recycling_cycle,value
0,EU27+3,2018.0,single-use beverage bottles,PET,All,0,731.5815815815815
1,EU27+3,2018.0,single-use non-beverage bottles,PET,All,0,72.92292292292292
2,EU27+3,2018.0,single-use sheet (tray),PET,All,0,251.7017017017017
3,EU27+3,2018.0,flexible packaging,PET,All,0,87.03703703703704
4,EU27+3,2018.0,other,PET,All,0,31.75675675675676
5,EU27+3,2018.25,single-use beverage bottles,PET,All,0,556.002002002002
6,EU27+3,2018.25,single-use beverage bottles,PET,All,1,175.57957957957956
7,EU27+3,2018.25,single-use non-beverage bottles,PET,All,0,55.42142142142142
8,EU27+3,2018.25,single-use non-beverage bottles,PET,All,1,17.5015015015015
9,EU27+3,2018.25,single-use sheet (tray),PET,All,0,140.95295295295296
10,EU27+3,2018.25,single-use sheet (tray),PET,All,1,110.74874874874875
11,EU27+3,2018.25,flexible packaging,PET,All,0,87.03703703703704
12,EU27+3,2018.25,other,PET,All,0,6.351351351351351
13,EU27+3,2018.25,other,PET,All,1,25.40540540540541
14,EU27+3,2018.5,single-use beverage bottles,PET,All,0,556.002002002002
15,EU27+3,2018.5,single-use beverage bottles,PET,All,1,133.44048048048046
16,EU27+3,2018.5,single-use beverage bottles,PET,All,2,42.13909909909909
17,EU27+3,2018.5,single-use non-beverage bottles,PET,All,0,55.42142142142142
18,EU27+3,2018.5,single-use non-beverage bottles,PET,All,1,13.301141141141143
19,EU27+3,2018.5,single-use non-beverage bottles,PET,All,2,4.20036036036036
20,EU27+3,2018.5,single-use sheet (tray),PET,All,0,140.95295295295296
21,EU27+3,2018.5,single-use sheet (tray),PET,All,1,62.0192992992993
22,EU27+3,2018.5,single-use sheet (tray),PET,All,2,48.729449449449454
23,EU27+3,2018.5,flexible packaging,PET,All,0,87.03703703703704
24,EU27+3,2018.5,other,PET,All,0,6.351351351351351
25,EU27+3,2018.5,other,PET,All,1,5.081081081081081
26,EU27+3,2018.5,other,PET,All,2,20.32432432432433
27,EU27+3,2018.75,single-use beverage bottles,PET,All,0,556.002002002002
28,EU27+3,2018.75,single-use beverage bottles,PET,All,1,133.44048048048046
29,EU27+3,2018.75,single-use beverage bottles,PET,All,2,32.02571531531531
30,EU27+3,2018.75,single-use beverage bottles,PET,All,3,10.113383783783782
31,EU27+3,2018.75,single-use non-beverage bottles,PET,All,0,55.42142142142142
32,EU27+3,2018.75,single-use non-beverage bottles,PET,All,1,13.30114114114114
33,EU27+3,2018.75,single-use non-beverage bottles,PET,All,2,3.1922738738738734
34,EU27+3,2018.75,single-use non-beverage bottles,PET,All,3,1.0080864864864862
35,EU27+3,2018.75,single-use sheet (tray),PET,All,0,140.95295295295296
36,EU27+3,2018.75,single-use sheet (tray),PET,All,1,62.0192992992993
37,EU27+3,2018.75,single-use sheet (tray),PET,All,2,27.28849169169169
38,EU27+3,2018.75,single-use sheet (tray),PET,All,3,21.440957757757758
39,EU27+3,2018.75,flexible packaging,PET,All,0,87.03703703703704
40,EU27+3,2018.75,other,PET,All,0,6.351351351351351
41,EU27+3,2018.75,other,PET,All,1,5.081081081081081
42,EU27+3,2018.75,other,PET,All,2,4.064864864864865
43,EU27+3,2018.75,other,PET,All,3,16.259459459459467
44,EU27+3,2019.0,single-use beverage bottles,PET,All,0,579.6616616616617
45,EU27+3,2019.0,single-use beverage bottles,PET,All,1,139.11879879879882
46,EU27+3,2019.0,single-use beverage bottles,PET,All,2,33.388511711711715
47,EU27+3,2019.0,single-use beverage bottles,PET,All,3,8.01324281081081
48,EU27+3,2019.0,single-use beverage bottles,PET,All,4,2.53049772972973
49,EU27+3,2019.0,single-use non-beverage bottles,PET,All,0,57.77977977977979
50,EU27+3,2019.0,single-use non-beverage bottles,PET,All,1,13.86714714714715
51,EU27+3,2019.0,single-use non-beverage bottles,PET,All,2,3.3281153153153156
52,EU27+3,2019.0,single-use non-beverage bottles,PET,All,3,0.7987476756756756
53,EU27+3,2019.0,single-use non-beverage bottles,PET,All,4,0.2522361081081081
54,EU27+3,2019.0,single-use sheet (tray),PET,All,0,146.95095095095098
55,EU27+3,2019.0,single-use sheet (tray),PET,All,1,64.65841841841844
56,EU27+3,2019.0,single-use sheet (tray),PET,All,2,28.44970410410411
57,EU27+3,2019.0,single-use sheet (tray),PET,All,3,12.517869805805807
58,EU27+3,2019.0,single-use sheet (tray),PET,All,4,9.835469133133133
59,EU27+3,2019.0,flexible packaging,PET,All,0,90.74074074074072
60,EU27+3,2019.0,other,PET,All,0,6.621621621621621
61,EU27+3,2019.0,other,PET,All,1,5.2972972972972965
62,EU27+3,2019.0,other,PET,All,2,4.237837837837837
63,EU27+3,2019.0,other,PET,All,3,3.3902702702702703
64,EU27+3,2019.0,other,PET,All,4,13.561081081081086
65,EU27+3,2019.25,single-use beverage bottles,PET,All,0,579.6616616616617
66,EU27+3,2019.25,single-use beverage bottles,PET,All,1,139.11879879879876
67,EU27+3,2019.25,single-use beverage bottles,PET,All,2,33.38851171171171
68,EU27+3,2019.25,single-use beverage bottles,PET,All,3,8.01324281081081
69,EU27+3,2019.25,single-use beverage bottles,PET,All,4,1.9231782745945942
70,EU27+3,2019.25,single-use beverage bottles,PET,All,5,0.6073194551351351
71,EU27+3,2019.25,single-use non-beverage bottles,PET,All,0,57.77977977977979
72,EU27+3,2019.25,single-use non-beverage bottles,PET,All,1,13.86714714714715
73,EU27+3,2019.25,single-use non-beverage bottles,PET,All,2,3.328115315315316
74,EU27+3,2019.25,single-use non-beverage bottles,PET,All,3,0.7987476756756757
75,EU27+3,2019.25,single-use non-beverage bottles,PET,All,4,0.19169944216216217
76,EU27+3,2019.25,single-use non-beverage bottles,PET,All,5,0.06053666594594595
77,EU27+3,2019.25,single-use sheet (tray),PET,All,0,146.95095095095098
78,EU27+3,2019.25,single-use sheet (tray),PET,All,1,64.65841841841842
79,EU27+3,2019.25,single-use sheet (tray),PET,All,2,28.449704104104107
80,EU27+3,2019.25,single-use sheet (tray),PET,All,3,12.517869805805807
81,EU27+3,2019.25,single-use sheet (tray),PET,All,4,5.5078627145545545
82,EU27+3,2019.25,single-use sheet (tray),PET,All,5,4.327606418578578
83,EU27+3,2019.25,flexible packaging,PET,All,0,90.74074074074072
84,EU27+3,2019.25,other,PET,All,0,6.621621621621621
85,EU27+3,2019.25,other,PET,All,1,5.2972972972972965
86,EU27+3,2019.25,other,PET,All,2,4.237837837837837
87,EU27+3,2019.25,other,PET,All,3,3.3902702702702703
88,EU27+3,2019.25,other,PET,All,4,2.7122162162162162
89,EU27+3,2019.25,other,PET,All,5,10.848864864864868
90,EU27+3,2019.5,single-use beverage bottles,PET,All,0,579.6616616616617
91,EU27+3,2019.5,single-use beverage bottles,PET,All,1,139.1187987987988
92,EU27+3,2019.5,single-use beverage bottles,PET,All,2,33.3885117117117
93,EU27+3,2019.5,single-use beverage bottles,PET,All,3,8.01324281081081
94,EU27+3,2019.5,single-use beverage bottles,PET,All,4,1.923178274594595
95,EU27+3,2019.5,single-use beverage bottles,PET,All,5,0.4615627859027026
96,EU27+3,2019.5,single-use beverage bottles,PET,All,6,0.1457566692324324
97,EU27+3,2019.5,single-use non-beverage bottles,PET,All,0,57.77977977977979
98,EU27+3,2019.5,single-use non-beverage bottles,PET,All,1,13.867147147147149
99,EU27+3,2019.5,single-use non-beverage bottles,PET,All,2,3.3281153153153156
100,EU27+3,2019.5,single-use non-beverage bottles,PET,All,3,0.7987476756756757
101,EU27+3,2019.5,single-use non-beverage bottles,PET,All,4,0.19169944216216217
102,EU27+3,2019.5,single-use non-beverage bottles,PET,All,5,0.04600786611891892
103,EU27+3,2019.5,single-use non-beverage bottles,PET,All,6,0.014528799827027027
104,EU27+3,2019.5,single-use sheet (tray),PET,All,0,146.95095095095098
105,EU27+3,2019.5,single-use sheet (tray),PET,All,1,64.65841841841844
106,EU27+3,2019.5,single-use sheet (tray),PET,All,2,28.449704104104107
107,EU27+3,2019.5,single-use sheet (tray),PET,All,3,12.517869805805807
108,EU27+3,2019.5,single-use sheet (tray),PET,All,4,5.507862714554556
109,EU27+3,2019.5,single-use sheet (tray),PET,All,5,2.423459594404004
110,EU27+3,2019.5,single-use sheet (tray),PET,All,6,1.9041468241745747
111,EU27+3,2019.5,flexible packaging,PET,All,0,90.74074074074072
112,EU27+3,2019.5,other,PET,All,0,6.621621621621621
113,EU27+3,2019.5,other,PET,All,1,5.297297297297298
114,EU27+3,2019.5,other,PET,All,2,4.237837837837838
115,EU27+3,2019.5,other,PET,All,3,3.390270270270271
116,EU27+3,2019.5,other,PET,All,4,2.7122162162162167
117,EU27+3,2019.5,other,PET,All,5,2.1697729729729733
118,EU27+3,2019.5,other,PET,All,6,8.679091891891897
119,EU27+3,2019.75,single-use beverage bottles,PET,All,0,579.6616616616617
120,EU27+3,2019.75,single-use beverage bottles,PET,All,1,139.11879879879882
121,EU27+3,2019.75,single-use beverage bottles,PET,All,2,33.38851171171171
122,EU27+3,2019.75,single-use beverage bottles,PET,All,3,8.013242810810807
123,EU27+3,2019.75,single-use beverage bottles,PET,All,4,1.9231782745945942
124,EU27+3,2019.75,single-use beverage bottles,PET,All,5,0.4615627859027028
125,EU27+3,2019.75,single-use beverage bottles,PET,All,6,0.11077506861664863
126,EU27+3,2019.75,single-use beverage bottles,PET,All,7,0.03498160061578378
127,EU27+3,2019.75,single-use non-beverage bottles,PET,All,0,57.77977977977979
128,EU27+3,2019.75,single-use non-beverage bottles,PET,All,1,13.86714714714715
129,EU27+3,2019.75,single-use non-beverage bottles,PET,All,2,3.3281153153153156
130,EU27+3,2019.75,single-use non-beverage bottles,PET,All,3,0.7987476756756756
131,EU27+3,2019.75,single-use non-beverage bottles,PET,All,4,0.19169944216216214
132,EU27+3,2019.75,single-use non-beverage bottles,PET,All,5,0.04600786611891892
133,EU27+3,2019.75,single-use non-beverage bottles,PET,All,6,0.011041887868540542
134,EU27+3,2019.75,single-use non-beverage bottles,PET,All,7,0.003486911958486486
135,EU27+3,2019.75,single-use sheet (tray),PET,All,0,146.95095095095098
136,EU27+3,2019.75,single-use sheet (tray),PET,All,1,64.65841841841844
137,EU27+3,2019.75,single-use sheet (tray),PET,All,2,28.44970410410411
138,EU27+3,2019.75,single-use sheet (tray),PET,All,3,12.517869805805807
139,EU27+3,2019.75,single-use sheet (tray),PET,All,4,5.507862714554556
140,EU27+3,2019.75,single-use sheet (tray),PET,All,5,2.4234595944040045
141,EU27+3,2019.75,single-use sheet (tray),PET,All,6,1.0663222215377617
142,EU27+3,2019.75,single-use sheet (tray),PET,All,7,0.8378246026368129
143,EU27+3,2019.75,flexible packaging,PET,All,0,90.74074074074072
144,EU27+3,2019.75,other,PET,All,0,6.621621621621621
145,EU27+3,2019.75,other,PET,All,1,5.2972972972972965
146,EU27+3,2019.75,other,PET,All,2,4.237837837837838
147,EU27+3,2019.75,other,PET,All,3,3.390270270270271
148,EU27+3,2019.75,other,PET,All,4,2.7122162162162167
149,EU27+3,2019.75,other,PET,All,5,2.1697729729729733
150,EU27+3,2019.75,other,PET,All,6,1.7358183783783787
151,EU27+3,2019.75,other,PET,All,7,6.9432735135135175
152,EU27+3,2020.0,single-use beverage bottles,PET,All,0,556.002002002002
153,EU27+3,2020.0,single-use beverage bottles,PET,All,1,133.4466009707003
154,EU27+3,2020.0,single-use beverage bottles,PET,All,2,32.02718423296807
155,EU27+3,2020.0,single-use beverage bottles,PET,All,3,7.686524215912334
156,EU27+3,2020.0,single-use beverage bottles,PET,All,4,1.8447658118189596
157,EU27+3,2020.0,single-use beverage bottles,PET,All,5,0.4427437948365505
158,EU27+3,2020.0,single-use beverage bottles,PET,All,6,0.10625851076077214
159,EU27+3,2020.0,single-use beverage bottles,PET,All,7,0.025502042582585305
160,EU27+3,2020.0,single-use non-beverage bottles,PET,All,0,55.42142142142142
161,EU27+3,2020.0,single-use non-beverage bottles,PET,All,1,13.301751222159835
162,EU27+3,2020.0,single-use non-beverage bottles,PET,All,2,3.192420293318361
163,EU27+3,2020.0,single-use non-beverage bottles,PET,All,3,0.7661808703964066
164,EU27+3,2020.0,single-use non-beverage bottles,PET,All,4,0.1838834088951375
165,EU27+3,2020.0,single-use non-beverage bottles,PET,All,5,0.044132018134833015
166,EU27+3,2020.0,single-use non-beverage bottles,PET,All,6,0.010591684352359923
167,EU27+3,2020.0,single-use non-beverage bottles,PET,All,7,0.0025420042445663815
168,EU27+3,2020.0,single-use sheet (tray),PET,All,0,140.95295295295296
169,EU27+3,2020.0,single-use sheet (tray),PET,All,1,62.21794739897263
170,EU27+3,2020.0,single-use sheet (tray),PET,All,2,27.37589685554796
171,EU27+3,2020.0,single-use sheet (tray),PET,All,3,12.045394616441103
172,EU27+3,2020.0,single-use sheet (tray),PET,All,4,5.299973631234085
173,EU27+3,2020.0,single-use sheet (tray),PET,All,5,2.3319883977429976
174,EU27+3,2020.0,single-use sheet (tray),PET,All,6,1.026074895006919
175,EU27+3,2020.0,single-use sheet (tray),PET,All,7,0.4514729538030442
176,EU27+3,2020.0,flexible packaging,PET,All,0,87.03703703703704
177,EU27+3,2020.0,other,PET,All,0,6.351351351351351
178,EU27+3,2020.0,other,PET,All,1,6.429430353565046
179,EU27+3,2020.0,other,PET,All,2,5.143544282852036
180,EU27+3,2020.0,other,PET,All,3,4.11483542628163
181,EU27+3,2020.0,other,PET,All,4,3.291868341025305
182,EU27+3,2020.0,other,PET,All,5,2.6334946728202433
183,EU27+3,2020.0,other,PET,All,6,2.106795738256195
184,EU27+3,2020.0,other,PET,All,7,1.6854365906049562
185,EU27+3,2020.25,single-use beverage bottles,PET,All,0,556.002002002002
186,EU27+3,2020.25,single-use beverage bottles,PET,All,1,133.4451322152013
187,EU27+3,2020.25,single-use beverage bottles,PET,All,2,32.02830070050754
188,EU27+3,2020.25,single-use beverage bottles,PET,All,3,7.686792168121808
189,EU27+3,2020.25,single-use beverage bottles,PET,All,4,1.8448301203492332
190,EU27+3,2020.25,single-use beverage bottles,PET,All,5,0.4427592288838158
191,EU27+3,2020.25,single-use beverage bottles,PET,All,6,0.10626221493211585
192,EU27+3,2020.25,single-use beverage bottles,PET,All,7,0.02550293158370781
193,EU27+3,2020.25,single-use non-beverage bottles,PET,All,0,55.42142142142142
194,EU27+3,2020.25,single-use non-beverage bottles,PET,All,1,13.301604818878591
195,EU27+3,2020.25,single-use non-beverage bottles,PET,All,2,3.192531581079529
196,EU27+3,2020.25,single-use non-beverage bottles,PET,All,3,0.7662075794590875
197,EU27+3,2020.25,single-use non-beverage bottles,PET,All,4,0.18388981907018095
198,EU27+3,2020.25,single-use non-beverage bottles,PET,All,5,0.044133556576843404
199,EU27+3,2020.25,single-use non-beverage bottles,PET,All,6,0.010592053578442421
200,EU27+3,2020.25,single-use non-beverage bottles,PET,All,7,0.002542092858826181
201,EU27+3,2020.25,single-use sheet (tray),PET,All,0,140.95295295295296
202,EU27+3,2020.25,single-use sheet (tray),PET,All,1,62.13074212817547
203,EU27+3,2020.25,single-use sheet (tray),PET,All,2,27.42508875908562
204,EU27+3,2020.25,single-use sheet (tray),PET,All,3,12.067039053997675
205,EU27+3,2020.25,single-use sheet (tray),PET,All,4,5.309497183758977
206,EU27+3,2020.25,single-use sheet (tray),PET,All,5,2.33617876085395
207,EU27+3,2020.25,single-use sheet (tray),PET,All,6,1.0279186547757382
208,EU27+3,2020.25,single-use sheet (tray),PET,All,7,0.4522842081013247
209,EU27+3,2020.25,flexible packaging,PET,All,0,87.03703703703704
210,EU27+3,2020.25,other,PET,All,0,6.351351351351351
211,EU27+3,2020.25,other,PET,All,1,5.365865384748735
212,EU27+3,2020.25,other,PET,All,2,5.431829522469608
213,EU27+3,2020.25,other,PET,All,3,4.345463617975685
214,EU27+3,2020.25,other,PET,All,4,3.4763708943805485
215,EU27+3,2020.25,other,PET,All,5,2.78109671550444
216,EU27+3,2020.25,other,PET,All,6,2.2248773724035513
217,EU27+3,2020.25,other,PET,All,7,1.7799018979228411
218,EU27+3,2020.5,single-use beverage bottles,PET,All,0,556.002002002002
219,EU27+3,2020.5,single-use beverage bottles,PET,All,1,133.44513237736643
220,EU27+3,2020.5,single-use beverage bottles,PET,All,2,32.02794822582057
221,EU27+3,2020.5,single-use beverage bottles,PET,All,3,7.68706013901356
222,EU27+3,2020.5,single-use beverage bottles,PET,All,4,1.8448944333632535
223,EU27+3,2020.5,single-use beverage bottles,PET,All,5,0.4427746640071808
224,EU27+3,2020.5,single-use beverage bottles,PET,All,6,0.10626591936172335
225,EU27+3,2020.5,single-use beverage bottles,PET,All,7,0.025503820646813617
226,EU27+3,2020.5,single-use non-beverage bottles,PET,All,0,55.42142142142142
227,EU27+3,2020.5,single-use non-beverage bottles,PET,All,1,13.301604835042957
228,EU27+3,2020.5,single-use non-beverage bottles,PET,All,2,3.1924964469467456
229,EU27+3,2020.5,single-use non-beverage bottles,PET,All,3,0.766234290383988
230,EU27+3,2020.5,single-use non-beverage bottles,PET,All,4,0.18389622969215724
231,EU27+3,2020.5,single-use non-beverage bottles,PET,All,5,0.044135095126117733
232,EU27+3,2020.5,single-use non-beverage bottles,PET,All,6,0.010592422830268249
233,EU27+3,2020.5,single-use non-beverage bottles,PET,All,7,0.0025421814792643813
234,EU27+3,2020.5,single-use sheet (tray),PET,All,0,140.95295295295296
235,EU27+3,2020.5,single-use sheet (tray),PET,All,1,62.13094274090568
236,EU27+3,2020.5,single-use sheet (tray),PET,All,2,27.386737920305308
237,EU27+3,2020.5,single-use sheet (tray),PET,All,3,12.088761417603969
238,EU27+3,2020.5,single-use sheet (tray),PET,All,4,5.319055023745746
239,EU27+3,2020.5,single-use sheet (tray),PET,All,5,2.3403842104481285
240,EU27+3,2020.5,single-use sheet (tray),PET,All,6,1.0297690525971765
241,EU27+3,2020.5,single-use sheet (tray),PET,All,7,0.4530983831427578
242,EU27+3,2020.5,flexible packaging,PET,All,0,87.03703703703704
243,EU27+3,2020.5,other,PET,All,0,6.351351351351351
244,EU27+3,2020.5,other,PET,All,1,5.382774701119105
245,EU27+3,2020.5,other,PET,All,2,4.547574656925705
246,EU27+3,2020.5,other,PET,All,3,4.603479309662244
247,EU27+3,2020.5,other,PET,All,4,3.6827834477297947
248,EU27+3,2020.5,other,PET,All,5,2.946226758183836
249,EU27+3,2020.5,other,PET,All,6,2.35698140654707
250,EU27+3,2020.5,other,PET,All,7,1.885585125237655
251,EU27+3,2020.75,single-use beverage bottles,PET,All,0,556.002002002002
252,EU27+3,2020.75,single-use beverage bottles,PET,All,1,133.44513253954287
253,EU27+3,2020.75,single-use beverage bottles,PET,All,2,32.027948303665255
254,EU27+3,2020.75,single-use beverage bottles,PET,All,3,7.686975551481655
255,EU27+3,2020.75,single-use beverage bottles,PET,All,4,1.8449587508614902
256,EU27+3,2020.75,single-use beverage bottles,PET,All,5,0.44279010020675746
257,EU27+3,2020.75,single-use beverage bottles,PET,All,6,0.10626962404962179
258,EU27+3,2020.75,single-use beverage bottles,PET,All,7,0.025504709771909214
259,EU27+3,2020.75,single-use non-beverage bottles,PET,All,0,55.42142142142142
260,EU27+3,2020.75,single-use non-beverage bottles,PET,All,1,13.301604851208456
261,EU27+3,2020.75,single-use non-beverage bottles,PET,All,2,3.1924964547061836
262,EU27+3,2020.75,single-use non-beverage bottles,PET,All,3,0.7662258588293613
263,EU27+3,2020.75,single-use non-beverage bottles,PET,All,4,0.18390264076111315
264,EU27+3,2020.75,single-use non-beverage bottles,PET,All,5,0.044136633782667176
265,EU27+3,2020.75,single-use non-beverage bottles,PET,All,6,0.01059279210784012
266,EU27+3,2020.75,single-use non-beverage bottles,PET,All,7,0.0025422701058816274
267,EU27+3,2020.75,single-use sheet (tray),PET,All,0,140.95295295295296
268,EU27+3,2020.75,single-use sheet (tray),PET,All,1,62.13114407720053
269,EU27+3,2020.75,single-use sheet (tray),PET,All,2,27.386915096244785
270,EU27+3,2020.75,single-use sheet (tray),PET,All,3,12.071895791349386
271,EU27+3,2020.75,single-use sheet (tray),PET,All,4,5.328647336695048
272,EU27+3,2020.75,single-use sheet (tray),PET,All,5,2.3446048281458216
273,EU27+3,2020.75,single-use sheet (tray),PET,All,6,1.0316261243841616
274,EU27+3,2020.75,single-use sheet (tray),PET,All,7,0.45391549472903103
275,EU27+3,2020.75,flexible packaging,PET,All,0,87.03703703703704
276,EU27+3,2020.75,other,PET,All,0,6.351351351351351
277,EU27+3,2020.75,other,PET,All,1,5.401818781791272
278,EU27+3,2020.75,other,PET,All,2,4.578045186001171
279,EU27+3,2020.75,other,PET,All,3,3.867708277255461
280,EU27+3,2020.75,other,PET,All,4,3.915255135622461
281,EU27+3,2020.75,other,PET,All,5,3.132204108497968
282,EU27+3,2020.75,other,PET,All,6,2.505763286798375
283,EU27+3,2020.75,other,PET,All,7,2.0046106294387007
284,EU27+3,2021.0,single-use beverage bottles,PET,All,0,579.6616616616617
285,EU27+3,2021.0,single-use beverage bottles,PET,All,1,139.12364898691064
286,EU27+3,2021.0,single-use beverage bottles,PET,All,2,33.39083980200538
287,EU27+3,2021.0,single-use beverage bottles,PET,All,3,8.014080923316532
288,EU27+3,2021.0,single-use beverage bottles,PET,All,4,1.9234464705964256
289,EU27+3,2021.0,single-use beverage bottles,PET,All,5,0.4616483263117079
290,EU27+3,2021.0,single-use beverage bottles,PET,All,6,0.11079559831480985
291,EU27+3,2021.0,single-use beverage bottles,PET,All,7,0.026590943595554355
292,EU27+3,2021.0,single-use non-beverage bottles,PET,All,0,57.77977977977979
293,EU27+3,2021.0,single-use non-beverage bottles,PET,All,1,13.867630606412314
294,EU27+3,2021.0,single-use non-beverage bottles,PET,All,2,3.3283473757625957
295,EU27+3,2021.0,single-use non-beverage bottles,PET,All,3,0.7988312174366965
296,EU27+3,2021.0,single-use non-beverage bottles,PET,All,4,0.19172617552568882
297,EU27+3,2021.0,single-use non-beverage bottles,PET,All,5,0.04601639265486478
298,EU27+3,2021.0,single-use non-beverage bottles,PET,All,6,0.01104393423716755
299,EU27+3,2021.0,single-use non-beverage bottles,PET,All,7,0.0026505442169202117
300,EU27+3,2021.0,single-use sheet (tray),PET,All,0,146.95095095095098
301,EU27+3,2021.0,single-use sheet (tray),PET,All,1,64.77523321081071
302,EU27+3,2021.0,single-use sheet (tray),PET,All,2,28.55250112140933
303,EU27+3,2021.0,single-use sheet (tray),PET,All,3,12.58571583722726
304,EU27+3,2021.0,single-use sheet (tray),PET,All,4,5.54766571965514
305,EU27+3,2021.0,single-use sheet (tray),PET,All,5,2.4487913640787333
306,EU27+3,2021.0,single-use sheet (tray),PET,All,6,1.0774682001946427
307,EU27+3,2021.0,single-use sheet (tray),PET,All,7,0.47408600808564283
308,EU27+3,2021.0,flexible packaging,PET,All,0,90.74074074074072
309,EU27+3,2021.0,other,PET,All,0,6.621621621621621
310,EU27+3,2021.0,other,PET,All,1,5.654213347118281
311,EU27+3,2021.0,other,PET,All,2,4.808903517551412
312,EU27+3,2021.0,other,PET,All,3,4.07554908592656
313,EU27+3,2021.0,other,PET,All,4,3.443180286249593
314,EU27+3,2021.0,other,PET,All,5,3.4855082990330515
315,EU27+3,2021.0,other,PET,All,6,2.7884066392264404
316,EU27+3,2021.0,other,PET,All,7,2.2307253113811525
317,EU27+3,2021.25,single-use beverage bottles,PET,All,0,579.6616616616617
318,EU27+3,2021.25,single-use beverage bottles,PET,All,1,139.12364915601177
319,EU27+3,2021.25,single-use beverage bottles,PET,All,2,33.39083988317393
320,EU27+3,2021.25,single-use beverage bottles,PET,All,3,8.014080952537206
321,EU27+3,2021.25,single-use beverage bottles,PET,All,4,1.9234464799470417
322,EU27+3,2021.25,single-use beverage bottles,PET,All,5,0.4616432475084367
323,EU27+3,2021.25,single-use beverage bottles,PET,All,6,0.11079946118765013
324,EU27+3,2021.25,single-use beverage bottles,PET,All,7,0.026591870685036028
325,EU27+3,2021.25,single-use non-beverage bottles,PET,All,0,57.77977977977979
326,EU27+3,2021.25,single-use non-beverage bottles,PET,All,1,13.867630623268052
327,EU27+3,2021.25,single-use non-beverage bottles,PET,All,2,3.3283473838533486
328,EU27+3,2021.25,single-use non-beverage bottles,PET,All,3,0.7988312203493679
329,EU27+3,2021.25,single-use non-beverage bottles,PET,All,4,0.19172617645774373
330,EU27+3,2021.25,single-use non-beverage bottles,PET,All,5,0.04601588640759339
331,EU27+3,2021.25,single-use non-beverage bottles,PET,All,6,0.011044319282370272
332,EU27+3,2021.25,single-use non-beverage bottles,PET,All,7,0.0026506366277688656
333,EU27+3,2021.25,single-use sheet (tray),PET,All,0,146.95095095095098
334,EU27+3,2021.25,single-use sheet (tray),PET,All,1,64.77544463561202
335,EU27+3,2021.25,single-use sheet (tray),PET,All,2,28.552687175234464
336,EU27+3,2021.25,single-use sheet (tray),PET,All,3,12.585838632751843
337,EU27+3,2021.25,single-use sheet (tray),PET,All,4,5.547737759696234
338,EU27+3,2021.25,single-use sheet (tray),PET,All,5,2.445390869231927
339,EU27+3,2021.25,single-use sheet (tray),PET,All,6,1.0794183256492926
340,EU27+3,2021.25,single-use sheet (tray),PET,All,7,0.4749440632856888
341,EU27+3,2021.25,flexible packaging,PET,All,0,90.74074074074072
342,EU27+3,2021.25,other,PET,All,0,6.621621621621621
343,EU27+3,2021.25,other,PET,All,1,5.679998617573854
344,EU27+3,2021.25,other,PET,All,2,4.850159950280329
345,EU27+3,2021.25,other,PET,All,3,4.125056805201259
346,EU27+3,2021.25,other,PET,All,4,3.495988520142604
347,EU27+3,2021.25,other,PET,All,5,2.953545276899362
348,EU27+3,2021.25,other,PET,All,6,2.9898540646606016
349,EU27+3,2021.25,other,PET,All,7,2.391883251728481
350,EU27+3,2021.5,single-use beverage bottles,PET,All,0,579.6616616616617
351,EU27+3,2021.5,single-use beverage bottles,PET,All,1,139.12364932512466
352,EU27+3,2021.5,single-use beverage bottles,PET,All,2,33.390839964348125
353,EU27+3,2021.5,single-use beverage bottles,PET,All,3,8.014080981759921
354,EU27+3,2021.5,single-use beverage bottles,PET,All,4,1.923446489298309
355,EU27+3,2021.5,single-use beverage bottles,PET,All,5,0.4616432503138171
356,EU27+3,2021.5,single-use beverage bottles,PET,All,6,0.11079824236704956
357,EU27+3,2021.5,single-use beverage bottles,PET,All,7,0.026592797839165634
358,EU27+3,2021.5,single-use non-beverage bottles,PET,All,0,57.77977977977979
359,EU27+3,2021.5,single-use non-beverage bottles,PET,All,1,13.867630640124968
360,EU27+3,2021.5,single-use non-beverage bottles,PET,All,2,3.328347391944669
361,EU27+3,2021.5,single-use non-beverage bottles,PET,All,3,0.7988312232622424
362,EU27+3,2021.5,single-use non-beverage bottles,PET,All,4,0.1917261773898636
363,EU27+3,2021.5,single-use non-beverage bottles,PET,All,5,0.04601588668722937
364,EU27+3,2021.5,single-use non-beverage bottles,PET,All,6,0.011044197792213951
365,EU27+3,2021.5,single-use non-beverage bottles,PET,All,7,0.0026507290450615267
366,EU27+3,2021.5,single-use sheet (tray),PET,All,0,146.95095095095098
367,EU27+3,2021.5,single-use sheet (tray),PET,All,1,64.77565682712266
368,EU27+3,2021.5,single-use sheet (tray),PET,All,2,28.552873903763835
369,EU27+3,2021.5,single-use sheet (tray),PET,All,3,12.585961873581226
370,EU27+3,2021.5,single-use sheet (tray),PET,All,4,5.547810060982802
371,EU27+3,2021.5,single-use sheet (tray),PET,All,5,2.445430634939542
372,EU27+3,2021.5,single-use sheet (tray),PET,All,6,1.0779229309405254
373,EU27+3,2021.5,single-use sheet (tray),PET,All,7,0.47580523013085974
374,EU27+3,2021.5,flexible packaging,PET,All,0,90.74074074074072
375,EU27+3,2021.5,other,PET,All,0,6.621621621621621
376,EU27+3,2021.5,other,PET,All,1,5.709799704219884
377,EU27+3,2021.5,other,PET,All,2,4.897841688913976
